"","V2","V4","Corner3 Usage","3s Assisted","Corner 3P%","3PA","Corner3Usage_percentile","Corner3Usage_ranking","Assisted3s_percentile","Assisted3s_ranking","Attempted3s_percentile","Attempted3s_ranking","Corner3_FGPct_percentile","Corner3_FGPct_ranking","Temp"
"501","Collin Gillespie","PHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"502","Collin Murray-Boyles","TOR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"503","Collin Sexton","CHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"504","Cooper Flagg","DAL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"505","Corey Kispert","WAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"506","Craig Porter Jr.","CLE",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"507","D'Angelo Russell","DAL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"508","DaRon Holmes","DEN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"509","Dalen Terry","CHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"510","Dalton Knecht","LAL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"511","Daniss Jenkins","DET",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"512","Danny Wolf","BRK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"513","Dario Šarić","SAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"514","Darius Garland","CLE",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"515","Davion Mitchell","MIA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"516","Day'Ron Sharpe","BRK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"517","De'Aaron Fox","SAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"518","De'Andre Hunter","CLE",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"519","De'Anthony Melton","GSW",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"520","DeMar DeRozan","SAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"521","Dean Wade","CLE",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"522","Deni Avdija","POR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"523","Dennis Schröder","SAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"524","Derik Queen","NOP",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"525","Derrick Jones Jr.","LAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"526","Derrick White","BOS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"527","Desmond Bane","ORL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"528","Devin Booker","PHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"529","Devin Carter","SAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"530","Devin Vassell","SAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"531","Dillon Brooks","PHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"532","Domantas Sabonis","SAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"533","Dominick Barlow","PHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"534","Donovan Clingan","POR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"535","Donovan Mitchell","CLE",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"536","Donte DiVincenzo","MIN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"537","Doug McDermott","SAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"538","Drake Powell","BRK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"539","Draymond Green","GSW",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"540","Drew Eubanks","SAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"541","Dru Smith","MIA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"542","Duncan Robinson","DET",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"543","Duop Reath","POR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"544","Dylan Harper","SAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"545","Dyson Daniels","ATL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"546","E.J. Liddell","BRK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"547","Egor Dёmin","BRK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"548","Elijah Harkless","UTA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"549","Emanuel Miller","CHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"550","Eric Gordon","PHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"551","Ethan Thompson","IND",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"552","Evan Mobley","CLE",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"553","Franz Wagner","ORL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"554","GG Jackson II","MEM",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"555","Gabe Vincent","LAL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"556","Garrett Temple","TOR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"557","Garrison Mathews","IND",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"558","Gary Harris","MIL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"559","Gary Payton II","GSW",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"560","Gary Trent Jr.","MIL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"561","Giannis Antetokounmpo","MIL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"562","Goga Bitadze","ORL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"563","Gradey Dick","TOR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"564","Grayson Allen","PHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"565","Guerschon Yabusele","NYK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
