"","V2","V4","Corner3 Usage","3s Assisted","Corner 3P%","3PA","Corner3Usage_percentile","Corner3Usage_ranking","Assisted3s_percentile","Assisted3s_ranking","Attempted3s_percentile","Attempted3s_ranking","Corner3_FGPct_percentile","Corner3_FGPct_ranking","Temp"
"795","Simone Fontecchio","MIA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"796","Sion James","CHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"797","Spencer Jones","DEN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"798","Stephen Curry","GSW",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"799","Stephon Castle","SAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"800","Svi Mykhailiuk","UTA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"801","T.J. McConnell","IND",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"802","Taelon Peter","IND",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"803","Tari Eason","HOU",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"804","Taurean Prince","MIL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"805","Taylor Hendricks","UTA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"806","Terance Mann","BRK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"807","Terrence Shannon Jr.","MIN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"808","Thomas Bryant","CLE",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"809","Tidjane Salaün","CHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"810","Tim Hardaway Jr.","DEN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"811","Tobias Harris","DET",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"812","Toumani Camara","POR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"813","Trae Young","ATL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"814","Tre Johnson","WAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"815","Tre Jones","CHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"816","Tre Mann","CHO",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"817","Trendon Watford","PHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"818","Trey Alexander","NOP",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"819","Trey Murphy III","NOP",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"820","Tristan Da Silva","ORL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"821","Tristan Vukcevic","WAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"822","Tyler Herro","MIA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"823","Tyler Kolek","NYK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"824","Tyrese Martin","BRK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"825","Tyrese Maxey","PHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"826","Tyrese Proctor","CLE",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"827","Tyson Etienne","BRK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"828","Tyus Jones","ORL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"829","VJ Edgecombe","PHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"830","Victor Wembanyama","SAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"831","Vince Williams Jr.","MEM",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"832","Vit Krejci","ATL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"833","Walker Kessler","UTA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"834","Walter Clayton","UTA",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"835","Wendell Carter Jr.","ORL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"836","Will Richard","GSW",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"837","Will Riley","WAS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"838","Xavier Tillman Sr.","BOS",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"839","Yang Hansen","POR",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"840","Zaccharie Risacher","ATL",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"841","Zach Collins","CHI",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"842","Zach LaVine","SAC",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"843","Zeke Nnaji","DEN",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"844","Ziaire Williams","BRK",-0.2,-0.2,-0.2,-0.5,-5,-47,-5,-49,-5,-49,-5,-49,"Low"
"845","A.J. Green","MIL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"846","A.J. Lawson","TOR",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"847","AJ Johnson","WAS",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"848","Aaron Gordon","DEN",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"849","Aaron Holiday","HOU",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"850","Aaron Nesmith","IND",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"851","Aaron Wiggins","OKC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"852","Ace Bailey","UTA",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"853","Adem Bona","PHI",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"854","Ajay Mitchell","OKC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"855","Al Horford","GSW",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"856","Alex Caruso","OKC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"857","Alex Sarr","WAS",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"858","Alperen Şengün","HOU",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"859","Amen Thompson","HOU",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"860","Amir Coffey","MIL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"861","Andre Drummond","PHI",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"862","Andre Jackson Jr.","MIL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"863","Andrew Nembhard","IND",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"864","Andrew Wiggins","MIA",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"865","Anfernee Simons","BOS",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"866","Anthony Black","ORL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"867","Anthony Davis","DAL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"868","Anthony Edwards","MIN",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"869","Anthony Gill","WAS",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"870","Antonio Reeves","CHO",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"871","Asa Newell","ATL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"872","Ausar Thompson","DET",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"873","Austin Reaves","LAL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"874","Ayo Dosunmu","CHI",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"875","Bam Adebayo","MIA",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"876","Baylor Scheierman","BOS",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"877","Ben Saraf","BRK",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"878","Ben Sheppard","IND",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"879","Bennedict Mathurin","IND",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"880","Bilal Coulibaly","WAS",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"881","Blake Wesley","POR",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"882","Bobby Portis","MIL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"883","Bobi Klintman","DET",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"884","Bogdan Bogdanović","LAC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"885","Bones Hyland","MIN",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"886","Bradley Beal","LAC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"887","Branden Carlson","OKC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"888","Brandin Podziemski","GSW",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"889","Brandon Ingram","TOR",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"890","Brandon Miller","CHO",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"891","Brandon Williams","DAL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"892","Brice Sensabaugh","UTA",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"893","Bronny James","LAL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"894","Brook Lopez","LAC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"895","Brooks Barnhizer","OKC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"896","Bruce Brown","DEN",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"897","Bryce McGowens","NOP",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"898","Bub Carrington","WAS",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"899","Buddy Hield","GSW",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"900","CJ McCollum","WAS",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"901","Cade Cunningham","DET",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"902","Caleb Houstan","ATL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"903","Caleb Love","POR",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"904","Caleb Martin","DAL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"905","Cam Christie","LAC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"906","Cam Spencer","MEM",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"907","Cam Thomas","BRK",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"908","Cam Whitmore","WAS",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"909","Cameron Johnson","DEN",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"910","Caris LeVert","DET",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"911","Carter Bryant","SAS",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"912","Cason Wallace","OKC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"913","Cedric Coward","MEM",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"914","Chaz Lanier","DET",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"915","Chet Holmgren","OKC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"916","Chris Boucher","BOS",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"917","Chris Paul","LAC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"918","Chris Youngblood","OKC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"919","Christian Braun","DEN",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"920","Coby White","CHI",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"921","Cody Williams","UTA",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"922","Cole Anthony","MIL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"923","Collin Gillespie","PHO",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"924","Collin Murray-Boyles","TOR",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"925","Collin Sexton","CHO",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"926","Cooper Flagg","DAL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"927","Corey Kispert","WAS",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"928","Craig Porter Jr.","CLE",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"929","D'Angelo Russell","DAL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"930","DaRon Holmes","DEN",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"931","Dalen Terry","CHI",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"932","Dalton Knecht","LAL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"933","Daniss Jenkins","DET",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"934","Danny Wolf","BRK",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"935","Dario Šarić","SAC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"936","Darius Garland","CLE",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"937","Davion Mitchell","MIA",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"938","Day'Ron Sharpe","BRK",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"939","De'Aaron Fox","SAS",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"940","De'Andre Hunter","CLE",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"941","De'Anthony Melton","GSW",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"942","DeMar DeRozan","SAC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"943","Dean Wade","CLE",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"944","Deni Avdija","POR",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"945","Dennis Schröder","SAC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"946","Derik Queen","NOP",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"947","Derrick Jones Jr.","LAC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"948","Derrick White","BOS",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"949","Desmond Bane","ORL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"950","Devin Booker","PHO",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"951","Devin Carter","SAC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"952","Devin Vassell","SAS",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"953","Dillon Brooks","PHO",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"954","Domantas Sabonis","SAC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"955","Dominick Barlow","PHI",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"956","Donovan Clingan","POR",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"957","Donovan Mitchell","CLE",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"958","Donte DiVincenzo","MIN",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"959","Doug McDermott","SAC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"960","Drake Powell","BRK",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"961","Draymond Green","GSW",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"962","Drew Eubanks","SAC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"963","Dru Smith","MIA",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"964","Duncan Robinson","DET",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"965","Duop Reath","POR",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"966","Dylan Harper","SAS",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"967","Dyson Daniels","ATL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"968","E.J. Liddell","BRK",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"969","Egor Dёmin","BRK",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"970","Elijah Harkless","UTA",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"971","Emanuel Miller","CHI",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"972","Eric Gordon","PHI",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"973","Ethan Thompson","IND",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"974","Evan Mobley","CLE",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"975","Franz Wagner","ORL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"976","GG Jackson II","MEM",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"977","Gabe Vincent","LAL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"978","Garrett Temple","TOR",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"979","Garrison Mathews","IND",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"980","Gary Harris","MIL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"981","Gary Payton II","GSW",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"982","Gary Trent Jr.","MIL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"983","Giannis Antetokounmpo","MIL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"984","Goga Bitadze","ORL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"985","Gradey Dick","TOR",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"986","Grayson Allen","PHO",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"987","Guerschon Yabusele","NYK",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"988","Gui Santos","GSW",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"989","Harrison Barnes","SAS",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"990","Herbert Jones","NOP",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"991","Hugo González","BOS",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"992","Hunter Tyson","DEN",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"993","Immanuel Quickley","TOR",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"994","Isaac Okoro","CHI",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"995","Isaiah Collier","UTA",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"996","Isaiah Joe","OKC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"997","Isaiah Livers","PHO",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"998","Isaiah Stewart","DET",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"999","JD Davison","HOU",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1000","Ja Morant","MEM",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1001","Ja'Kobe Walter","TOR",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1002","Jabari Smith Jr.","HOU",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1003","Jabari Walker","PHI",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1004","Jaden Hardy","DAL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1005","Jaden Ivey","DET",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1006","Jaden McDaniels","MIN",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1007","Jae'Sean Tate","HOU",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1008","Jahmai Mashack","MEM",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1009","Jahmir Young","MIA",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1010","Jaime Jaquez Jr.","MIA",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1011","Jake LaRavia","LAL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1012","Jalen Brunson","NYK",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1013","Jalen Green","PHO",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1014","Jalen Johnson","ATL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1015","Jalen Pickett","DEN",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1016","Jalen Smith","CHI",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1017","Jalen Suggs","ORL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1018","Jalen Williams","OKC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1019","Jalen Wilson","BRK",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1020","Jamal Cain","ORL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1021","Jamal Murray","DEN",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1022","Jamal Shead","TOR",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1023","Jamaree Bouyea","PHO",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1024","James Harden","LAC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1025","Jamir Watkins","WAS",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1026","Jamison Battle","TOR",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1027","Jarace Walker","IND",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1028","Jared McCain","PHI",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1029","Jaren Jackson Jr.","MEM",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1030","Jarred Vanderbilt","LAL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1031","Jarrett Allen","CLE",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1032","Jase Richardson","ORL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1033","Javon Small","MEM",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1034","Javonte Green","DET",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1035","Jay Huff","IND",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1036","Jaylen Brown","BOS",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1037","Jaylen Clark","MIN",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1038","Jaylen Wells","MEM",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1039","Jaylin Williams","OKC",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1040","Jaylon Tyson","CLE",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1041","Jeff Green","HOU",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1042","Jerami Grant","POR",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1043","Jeremiah Fears","NOP",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1044","Jeremiah Robinson-Earl","IND",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1045","Jeremy Sochan","SAS",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1046","Jett Howard","ORL",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1047","Jevon Carter","CHI",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
"1048","Jimmy Butler","GSW",1.2,1.2,1.2,12.6,105,496,105,484,105,543,105,496,"High"
