"","V2","V4","Short2 Usage","2s Assisted","Short 2P%","2PA","Short2Usage_percentile","Short2Usage_ranking","Assisted2s_percentile","Assisted2s_ranking","Attempted2s_percentile","Attempted2s_ranking","Short2_FGPct_percentile","Short2_FGPct_ranking","Temp"
"324","Marcus Sasser","DET",0.071,0.667,0,1,10,462,66,175,16,430,5,488,"Rate"
"325","Marcus Smart","LAL",0.133,0.514,0.783,2.6,24,391,39,314,46,279,78,115,"Rate"
"326","Mark Sears","MIL",0.077,0,1,0.7,12,451,4,492,10,461,95,28,"Rate"
"327","Mark Williams","PHO",0.59,0.725,0.744,7.5,92,39,75,128,83,89,68,164,"Rate"
"328","Marvin Bagley III","WAS",0.599,0.629,0.736,6,93,36,60,208,75,131,68,165,"Rate"
"329","Mason Plumlee","CHO",0.833,0.889,0.9,0.9,99,6,93,37,14,444,91,46,"Rate"
"330","Matas Buzelis","CHI",0.394,0.53,0.652,5.8,80,103,43,295,74,136,36,327,"Rate"
"331","Matisse Thybulle","POR",0.4,0,0.5,1,81,97,4,493,16,431,13,447,"Rate"
"332","Max Christie","DAL",0.148,0.62,0.718,3.2,31,355,58,217,53,240,62,197,"Rate"
"333","Maxi Kleber","LAL",0.138,1,0.25,0.9,27,377,97,17,13,445,6,481,"Rate"
"334","Maxime Raynaud","SAC",0.255,0.817,0.712,7.3,61,201,89,58,81,97,59,212,"Rate"
"335","Micah Peavy","NOP",0.331,0.659,0.628,3,72,146,64,187,51,252,32,349,"Rate"
"336","Micah Potter","IND",0.385,1,0.6,1.5,78,113,96,18,26,382,26,382,"Rate"
"337","Michael Porter Jr.","BRK",0.18,0.652,0.862,9.3,39,313,63,191,89,56,90,50,"Rate"
"338","Mikal Bridges","NYK",0.224,0.619,0.783,6.9,48,265,58,218,80,105,77,116,"Rate"
"339","Mike Conley","MIN",0.092,0.917,0.545,1.1,14,444,93,34,18,421,17,427,"Rate"
"340","Miles Bridges","CHO",0.212,0.527,0.691,9.1,47,274,42,296,89,58,51,254,"Rate"
"341","Miles McBride","NYK",0.09,0.414,0.778,2.9,13,445,25,386,49,261,77,117,"Rate"
"342","Mitchell Robinson","NYK",0.918,0.5,0.679,2.8,99,3,36,331,48,268,47,270,"Rate"
"343","Mohamed Diawara","NYK",0.28,0.7,0.5,0.9,65,182,72,144,13,446,13,448,"Rate"
"344","Monte Morris","IND",0.25,0.6,0.6,2,58,218,54,238,36,328,25,383,"Rate"
"345","Moses Moody","GSW",0.132,0.667,0.703,3,24,392,66,176,51,253,55,233,"Rate"
"346","Mouhamed Gueye","ATL",0.317,0.792,0.844,2.4,70,154,85,77,42,298,89,56,"Rate"
"347","Moussa Cisse","DAL",0.789,0.739,0.667,1.9,98,11,78,114,33,344,41,303,"Rate"
"348","Moussa Diabaté","CHO",0.675,0.67,0.717,4.9,96,22,66,177,68,164,61,198,"Rate"
"349","Myles Turner","MIL",0.151,0.726,0.58,3.8,31,356,76,121,59,211,23,398,"Rate"
"350","Myron Gardner","MIA",0.2,1,0,0.5,44,289,96,20,6,481,5,489,"Rate"
"351","N'Faly Dante","ATL",0.5,1,0.5,1,89,59,96,21,16,432,13,449,"Rate"
"352","Nae'Qwan Tomlin","CLE",0.512,0.681,0.672,3.3,90,50,69,160,54,235,41,304,"Rate"
"353","Naji Marshall","DAL",0.224,0.58,0.824,6,48,266,50,255,74,132,86,73,"Rate"
"354","Naz Reid","MIN",0.141,0.515,0.732,5.1,26,378,41,302,70,154,64,183,"Rate"
"355","Neemias Queta","BOS",0.561,0.771,0.784,6.5,92,43,82,92,78,113,77,118,"Rate"
"356","Nic Claxton","BRK",0.509,0.606,0.75,8.8,90,51,56,228,88,63,70,152,"Rate"
"357","Nick Richards","PHO",0.377,0.727,0.692,2.7,78,114,76,122,47,274,50,255,"Rate"
"358","Nick Smith Jr.","LAL",0.05,0.261,0.6,3.4,7,478,11,458,55,233,25,384,"Rate"
"359","Nickeil Alexander-Walker","ATL",0.247,0.515,0.598,7.9,57,219,41,303,84,81,25,385,"Rate"
"360","Nicolas Batum","LAC",0.017,0.5,0.5,0.2,5,490,35,332,3,500,12,450,"Rate"
"361","Nigel Hayes-Davis","PHO",0.048,0.417,0.5,1.3,7,479,26,381,22,402,12,451,"Rate"
"362","Nikola Jokić","DEN",0.238,0.544,0.782,12.7,54,236,44,289,97,13,77,119,"Rate"
"363","Nikola Jović","MIA",0.234,0.649,0.568,3.5,51,251,63,192,56,228,21,405,"Rate"
"364","Nikola Vučević","CHI",0.208,0.797,0.674,8.6,46,275,86,73,87,67,41,305,"Rate"
"365","Nique Clifford","SAC",0.15,0.524,0.826,2.9,31,357,41,304,49,262,87,65,"Rate"
"366","Noah Clowney","BRK",0.115,0.627,0.676,3.2,21,408,59,209,53,241,47,271,"Rate"
"367","Noah Penda","ORL",0.299,0.5,0.7,2,67,168,35,333,36,329,54,234,"Rate"
"368","Nolan Traoré","BRK",0.125,0.833,0.25,1.6,20,409,90,51,27,377,6,482,"Rate"
"369","Norman Powell","MIA",0.217,0.538,0.62,9.5,48,267,44,290,89,54,29,365,"Rate"
"370","OG Anunoby","NYK",0.326,0.68,0.711,6,71,148,69,161,74,133,59,213,"Rate"
"371","Obi Toppin","IND",0.222,0.417,0.625,6.3,48,268,26,382,76,121,29,366,"Rate"
"372","Ochai Agbaji","TOR",0.492,0.767,0.621,2.9,88,63,82,93,49,263,29,367,"Rate"
"373","Olivier-Maxence Prosper","MEM",0.339,0.75,0.684,1.9,74,136,78,112,33,345,47,272,"Rate"
"374","Onyeka Okongwu","ATL",0.23,0.722,0.765,7.3,51,252,75,129,81,98,73,139,"Rate"
"375","Orlando Robinson","ORL",0.4,1,1,0.8,81,98,96,22,12,451,94,29,"Rate"
"376","Oso Ighodaro","PHO",0.437,0.76,0.836,3.8,85,77,81,99,59,212,89,57,"Rate"
"377","Ousmane Dieng","OKC",0.115,0.462,0.571,1.7,20,410,29,367,29,367,21,406,"Rate"
"378","P.J. Washington","DAL",0.249,0.573,0.682,8.3,57,220,49,263,86,74,47,273,"Rate"
"379","PJ Hall","2TM",0.65,1,0.769,1.7,94,30,96,23,28,368,75,131,"Rate"
"380","PJ Hall","CHO",0.909,1,0.7,3.7,99,4,95,24,58,217,54,235,"Rate"
"381","PJ Hall","MEM",0.333,1,1,0.9,71,149,95,25,13,447,94,30,"Rate"
"382","Pacome Dadiet","NYK",0.125,1,1,0.3,20,411,95,26,4,495,94,31,"Rate"
"383","Paolo Banchero","ORL",0.239,0.433,0.724,11.6,54,237,27,376,95,27,61,199,"Rate"
"384","Pascal Siakam","IND",0.174,0.393,0.66,13.2,37,325,23,394,98,10,39,314,"Rate"
"385","Pat Connaughton","CHO",0.132,0.667,0.4,0.8,24,393,65,178,12,452,9,469,"Rate"
"386","Pat Spencer","GSW",0.164,0.286,0.727,4.1,34,340,12,453,62,196,64,184,"Rate"
"387","Patrick Williams","CHI",0.216,0.375,0.439,2.9,48,269,22,402,49,264,10,461,"Rate"
"388","Paul George","PHI",0.107,0.385,0.714,6.4,18,421,22,403,78,115,58,214,"Rate"
"389","Paul Reed","DET",0.387,0.765,0.694,3.2,80,104,81,100,53,242,50,256,"Rate"
"390","Payton Pritchard","BOS",0.073,0.19,0.727,6.1,10,463,8,473,75,127,64,185,"Rate"
"391","Pelle Larsson","MIA",0.243,0.625,0.756,3.8,54,238,57,219,59,213,73,140,"Rate"
"392","Pete Nance","MIL",0.143,1,1,0.6,26,379,95,27,8,471,94,32,"Rate"
"393","Peyton Watson","DEN",0.38,0.777,0.726,5.2,78,115,83,86,71,151,64,186,"Rate"
"394","Precious Achiuwa","SAC",0.394,0.629,0.656,5,80,105,59,210,69,158,39,315,"Rate"
"395","Quentin Grimes","PHI",0.252,0.592,0.675,4.7,57,221,52,249,67,170,47,274,"Rate"
"396","Quenton Jackson","IND",0.273,0.5,0.833,3.3,62,193,35,334,54,236,87,66,"Rate"
"397","Quinten Post","GSW",0.14,0.652,0.75,2.3,26,380,62,193,40,310,70,153,"Rate"
"398","RJ Barrett","TOR",0.342,0.592,0.656,8.8,73,137,51,250,88,64,39,316,"Rate"
"399","Rasheer Fleming","PHO",0.314,0.833,0.688,1.2,69,160,90,52,20,412,50,257,"Rate"
"400","RayJ Dennis","2TM",0.125,0.6,0.333,2.4,20,412,54,239,42,299,7,478,"Rate"
"401","RayJ Dennis","IND",0.125,0.6,0.333,2.6,20,413,53,240,46,280,7,479,"Rate"
"402","Rayan Rupert","POR",0.281,0.6,0.611,1.3,64,183,53,241,22,403,27,375,"Rate"
"403","Reed Sheppard","HOU",0.056,0.338,0.833,4.5,8,471,18,422,64,186,87,67,"Rate"
"404","Riley Minix","SAS",0.5,0.333,1,1,88,60,16,432,16,433,94,33,"Rate"
"405","Rob Dillingham","MIN",0.24,0.394,0.517,3.3,54,239,23,395,54,237,16,432,"Rate"
"406","Robert Williams","POR",0.636,0.7,0.786,3.6,94,31,72,145,57,223,79,106,"Rate"
"407","Ron Harper Jr.","BOS",0.1,1,1,0.5,16,433,95,28,6,483,93,34,"Rate"
"408","Ron Holland","DET",0.257,0.627,0.672,4.7,61,202,59,211,67,171,40,306,"Rate"
"409","Royce O'Neale","PHO",0.061,0.56,0.647,1.6,8,472,46,276,26,378,36,328,"Rate"
"410","Rudy Gobert","MIN",0.742,0.714,0.789,6.4,97,15,73,139,77,116,79,107,"Rate"
"411","Rui Hachimura","LAL",0.187,0.741,0.688,5.4,41,304,78,115,72,146,50,258,"Rate"
"412","Russell Westbrook","SAC",0.155,0.27,0.662,7.3,34,341,11,456,81,99,38,317,"Rate"
"413","Ryan Dunn","PHO",0.391,0.648,0.652,3.8,79,106,62,194,58,214,36,329,"Rate"
"414","Ryan Kalkbrenner","CHO",0.828,0.708,0.832,4.6,99,7,73,140,65,178,87,68,"Rate"
"415","Ryan Nembhard","DAL",0.074,0.22,0.727,4.6,10,464,9,468,65,179,64,187,"Rate"
"416","Ryan Rollins","MIL",0.261,0.206,0.68,7.9,61,203,9,470,84,82,46,275,"Rate"
"417","Saddiq Bey","NOP",0.303,0.465,0.598,7.1,67,169,31,356,80,101,25,386,"Rate"
"418","Sam Hauser","BOS",0.033,0.778,0.857,0.8,5,486,83,87,12,453,90,51,"Rate"
"419","Sam Merrill","CLE",0.08,0.789,0.929,1.8,12,452,85,78,31,353,92,41,"Rate"
"420","Sandro Mamukelashvili","TOR",0.397,0.708,0.716,4.2,81,99,73,141,62,193,61,200,"Rate"
"421","Santi Aldama","MEM",0.21,0.806,0.734,6.6,46,276,88,63,78,111,63,188,"Rate"
"422","Scottie Barnes","TOR",0.316,0.58,0.707,11.4,70,155,50,256,94,30,58,215,"Rate"
"423","Seth Curry","GSW",0.111,0.5,1,2.5,18,422,35,335,44,289,93,35,"Rate"
"424","Shaedon Sharpe","POR",0.256,0.427,0.703,12.1,60,204,27,377,96,19,54,236,"Rate"
"425","Shai Gilgeous-Alexander","OKC",0.199,0.176,0.76,14.7,44,290,7,476,99,3,73,141,"Rate"
"426","Sidy Cissoko","POR",0.171,0.679,0.68,1.9,37,326,68,162,33,346,46,276,"Rate"
"427","Simone Fontecchio","MIA",0.137,0.8,0.516,2.2,26,381,86,74,39,314,16,433,"Rate"
"428","Sion James","CHO",0.268,0.613,0.511,2,62,194,55,229,36,330,15,435,"Rate"
"429","Spencer Jones","DEN",0.333,0.778,0.718,1.8,71,150,83,88,31,354,61,201,"Rate"
"430","Stephen Curry","GSW",0.12,0.474,0.667,7.8,19,414,31,357,84,84,40,307,"Rate"
"431","Stephon Castle","SAS",0.299,0.303,0.744,8.5,67,170,13,449,86,70,68,166,"Rate"
"432","Steven Adams","HOU",0.673,0.519,0.581,4.4,95,24,41,305,63,188,22,399,"Rate"
"433","Svi Mykhailiuk","UTA",0.126,0.667,0.593,2.4,23,394,65,179,42,300,24,391,"Rate"
"434","T.J. McConnell","IND",0.169,0.211,0.7,7.1,36,327,8,471,80,102,54,237,"Rate"
"435","Tari Eason","HOU",0.239,0.314,0.788,4.1,53,240,14,444,62,197,79,108,"Rate"
"436","Taurean Prince","MIL",0.105,0.8,0.75,1.3,16,434,85,75,21,404,70,154,"Rate"
"437","Taylor Hendricks","UTA",0.195,0.875,0.647,2,43,291,92,41,36,331,36,330,"Rate"
"438","Terance Mann","BRK",0.24,0.37,0.698,3.6,53,241,20,409,56,224,54,238,"Rate"
"439","Terrence Shannon Jr.","MIN",0.346,0.588,0.571,2,74,134,51,251,35,332,21,407,"Rate"
"440","Thanasis Antetokounmpo","MIL",0.667,0.667,0.667,0.8,95,25,65,180,12,454,40,308,"Rate"
"441","Thomas Bryant","CLE",0.37,0.758,0.735,1.8,77,119,80,101,31,355,68,167,"Rate"
"442","Tidjane Salaün","CHO",0.278,0.741,0.778,2.4,64,184,77,116,41,301,77,120,"Rate"
"443","Tim Hardaway Jr.","DEN",0.08,0.793,0.615,3.2,12,453,85,79,53,243,28,368,"Rate"
"444","Tobias Harris","DET",0.172,0.55,0.595,6.6,36,328,45,281,78,112,25,387,"Rate"
"445","Tolu Smith","DET",0.625,0.667,0.8,4,94,33,65,181,60,206,81,98,"Rate"
"446","Tony Bradley","IND",0.525,0.689,0.643,2.8,91,47,70,153,48,269,33,343,"Rate"
"447","Toumani Camara","POR",0.158,0.642,0.759,3.7,33,342,61,202,58,218,72,142,"Rate"
"448","Trae Young","ATL",0.156,0.395,0.619,7.6,33,343,24,389,83,87,28,369,"Rate"
"449","Trayce Jackson-Davis","GSW",0.676,0.773,0.75,3.1,96,23,82,94,52,247,70,155,"Rate"
"450","Tre Johnson","WAS",0.053,0.431,0.692,4.7,7,480,26,378,67,172,50,259,"Rate"
"451","Tre Jones","CHI",0.507,0.461,0.676,6.4,90,52,28,368,77,117,46,277,"Rate"
"452","Tre Mann","CHO",0.135,0.256,0.593,4.2,26,382,11,459,62,194,24,392,"Rate"
"453","Trendon Watford","PHI",0.307,0.525,0.593,5,69,161,40,306,69,159,24,393,"Rate"
"454","Trentyn Flowers","CHI",0.667,0.5,1,1,95,26,35,336,16,434,93,36,"Rate"
"455","Trey Alexander","NOP",0.222,0.5,0.5,2,47,270,34,337,35,333,12,452,"Rate"
