"","V2","V4","Short2 Usage","2s Assisted","Short 2P%","2PA","Short2Usage_percentile","Short2Usage_ranking","Assisted2s_percentile","Assisted2s_ranking","Attempted2s_percentile","Attempted2s_ranking","Short2_FGPct_percentile","Short2_FGPct_ranking","Temp"
"686","Jalen Williams","OKC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"687","Jalen Wilson","BRK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"688","Jamal Cain","ORL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"689","Jamal Murray","DEN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"690","Jamal Shead","TOR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"691","Jamaree Bouyea","PHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"692","James Harden","LAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"693","James Wiseman","IND",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"694","Jamir Watkins","WAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"695","Jamison Battle","TOR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"696","Jarace Walker","IND",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"697","Jared McCain","PHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"698","Jaren Jackson Jr.","MEM",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"699","Jarred Vanderbilt","LAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"700","Jarrett Allen","CLE",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"701","Jase Richardson","ORL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"702","Javon Small","MEM",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"703","Javonte Cooke","POR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"704","Javonte Green","DET",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"705","Jaxson Hayes","LAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"706","Jay Huff","IND",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"707","Jaylen Brown","BOS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"708","Jaylen Clark","MIN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"709","Jaylen Wells","MEM",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"710","Jaylin Williams","OKC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"711","Jaylon Tyson","CLE",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"712","Jeff Green","HOU",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"713","Jerami Grant","POR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"714","Jeremiah Fears","NOP",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"715","Jeremiah Robinson-Earl","IND",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"716","Jeremy Sochan","SAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"717","Jericho Sims","MIL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"718","Jett Howard","ORL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"719","Jevon Carter","CHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"720","Jimmy Butler","GSW",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"721","Joan Beringer","MIN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"722","Jock Landale","MEM",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"723","Joel Embiid","PHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"724","John Collins","LAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"725","John Konchar","MEM",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"726","Johni Broome","PHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"727","Johnny Furphy","IND",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"728","Johnny Juzang","MIN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"729","Jonas Valančiūnas","DEN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"730","Jonathan Isaac","ORL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"731","Jonathan Kuminga","GSW",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"732","Jonathan Mogbo","TOR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"733","Jordan Clarkson","NYK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"734","Jordan Goodwin","PHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"735","Jordan Hawkins","NOP",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"736","Jordan McLaughlin","SAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"737","Jordan Miller","LAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"738","Jordan Poole","NOP",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"739","Jordan Walsh","BOS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"740","Jose Alvarado","NOP",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"741","Josh Giddey","CHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"742","Josh Green","CHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"743","Josh Hart","NYK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"744","Josh Minott","BOS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"745","Josh Okogie","HOU",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"746","Jrue Holiday","POR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"747","Julian Champagnie","SAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"748","Julian Phillips","CHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"749","Julian Strawther","DEN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"750","Julius Randle","MIN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"751","Justin Champagnie","WAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"752","Justin Edwards","PHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"753","Jusuf Nurkić","UTA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"754","KJ Simpson","CHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"755","Kam Jones","IND",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"756","Karl-Anthony Towns","NYK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"757","Karlo Matković","NOP",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"758","Kasparas Jakučionis","MIA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"759","Kawhi Leonard","LAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"760","Keaton Wallace","ATL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"761","Keegan Murray","SAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"762","Kel'el Ware","MIA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"763","Keldon Johnson","SAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"764","Kelly Olynyk","SAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"765","Kelly Oubre Jr.","PHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"766","Kenrich Williams","OKC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"767","Kentavious Caldwell-Pope","MEM",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"768","Keon Ellis","SAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"769","Keshad Johnson","MIA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"770","Kevin Durant","HOU",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"771","Kevin Huerter","CHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"772","Kevin Love","UTA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"773","Kevin McCullar Jr.","NYK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"774","Kevin Porter Jr.","MIL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"775","Kevon Looney","NOP",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"776","Keyonte George","UTA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"777","Khaman Maluach","PHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"778","Khris Middleton","WAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"779","Klay Thompson","DAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"780","Kobe Brown","LAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"781","Kobe Sanders","LAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"782","Koby Brea","PHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"783","Kon Knueppel","CHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"784","Kris Dunn","LAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"785","Kris Murray","POR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"786","Kristaps Porziņģis","ATL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"787","Kyle Anderson","UTA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"788","Kyle Filipowski","UTA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"789","Kyle Kuzma","MIL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"790","Kyshawn George","WAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"791","LaMelo Ball","CHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"792","Lachlan Olbrich","CHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"793","Landry Shamet","NYK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"794","Larry Nance Jr.","CLE",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"795","Lauri Markkanen","UTA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"796","LeBron James","LAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"797","Leonard Miller","MIN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"798","Liam McNeeley","CHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"799","Lindy Waters III","SAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"800","Lonzo Ball","CLE",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"801","Luguentz Dort","OKC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"802","Luka Dončić","LAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"803","Luka Garza","BOS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"804","Luke Kennard","ATL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"805","Luke Kornet","SAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"806","Luke Travers","CLE",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"807","Mac McClung","IND",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"808","Malaki Branham","WAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"809","Malik Monk","SAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"810","Marcus Sasser","DET",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"811","Marcus Smart","LAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"812","Mark Sears","MIL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"813","Mark Williams","PHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"814","Marvin Bagley III","WAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"815","Mason Plumlee","CHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"816","Matas Buzelis","CHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"817","Matisse Thybulle","POR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"818","Max Christie","DAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"819","Maxi Kleber","LAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"820","Maxime Raynaud","SAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"821","Micah Peavy","NOP",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"822","Micah Potter","IND",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"823","Michael Porter Jr.","BRK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"824","Mikal Bridges","NYK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"825","Mike Conley","MIN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"826","Miles Bridges","CHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"827","Miles McBride","NYK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"828","Mitchell Robinson","NYK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"829","Mohamed Diawara","NYK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"830","Monte Morris","IND",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"831","Moses Moody","GSW",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"832","Mouhamed Gueye","ATL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"833","Moussa Cisse","DAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"834","Moussa Diabaté","CHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"835","Myles Turner","MIL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"836","Myron Gardner","MIA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"837","N'Faly Dante","ATL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"838","Nae'Qwan Tomlin","CLE",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"839","Naji Marshall","DAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"840","Naz Reid","MIN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"841","Neemias Queta","BOS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"842","Nic Claxton","BRK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"843","Nick Richards","PHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"844","Nick Smith Jr.","LAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"845","Nickeil Alexander-Walker","ATL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"846","Nicolas Batum","LAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"847","Nigel Hayes-Davis","PHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"848","Nikola Jokić","DEN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"849","Nikola Jović","MIA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"850","Nikola Vučević","CHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"851","Nique Clifford","SAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"852","Noah Clowney","BRK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"853","Noah Penda","ORL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"854","Nolan Traoré","BRK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"855","Norman Powell","MIA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"856","OG Anunoby","NYK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"857","Obi Toppin","IND",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"858","Ochai Agbaji","TOR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"859","Olivier-Maxence Prosper","MEM",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"860","Onyeka Okongwu","ATL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"861","Orlando Robinson","ORL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"862","Oso Ighodaro","PHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"863","Ousmane Dieng","OKC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"864","P.J. Washington","DAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"865","PJ Hall","2TM",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"866","PJ Hall","CHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"867","PJ Hall","MEM",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"868","Pacome Dadiet","NYK",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"869","Paolo Banchero","ORL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"870","Pascal Siakam","IND",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"871","Pat Connaughton","CHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"872","Pat Spencer","GSW",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"873","Patrick Williams","CHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"874","Paul George","PHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"875","Paul Reed","DET",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"876","Payton Pritchard","BOS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"877","Pelle Larsson","MIA",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"878","Pete Nance","MIL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"879","Peyton Watson","DEN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"880","Precious Achiuwa","SAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"881","Quentin Grimes","PHI",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"882","Quenton Jackson","IND",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"883","Quinten Post","GSW",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"884","RJ Barrett","TOR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"885","Rasheer Fleming","PHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"886","RayJ Dennis","2TM",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"887","RayJ Dennis","IND",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"888","Rayan Rupert","POR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"889","Reed Sheppard","HOU",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"890","Riley Minix","SAS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"891","Rob Dillingham","MIN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"892","Robert Williams","POR",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"893","Ron Harper Jr.","BOS",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"894","Ron Holland","DET",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"895","Royce O'Neale","PHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"896","Rudy Gobert","MIN",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"897","Rui Hachimura","LAL",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"898","Russell Westbrook","SAC",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
"899","Ryan Dunn","PHO",-0.2,-0.2,-0.2,-0.5,-5,-48,-5,-48,-5,-49,-5,-49,"Low"
