Table 1
,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
40,Anthony Black,22,ORL,PG,34,14,1012,0.460,12.5,0.649,0.286,0.249,0.065,0.048,0.351,0.522,0.729,0.408,0.296,0.200,0.345,0.557,0.820,0.114,39,0.303,0.477,1,1,,blackan01
41,Kevin Durant,37,HOU,SF,28,28,1007,0.522,15.5,0.716,0.065,0.171,0.343,0.137,0.284,0.556,0.806,0.519,0.546,0.508,0.437,0.423,0.729,0.044,20,0.052,0.429,0,0,,duranke01
42,Wendell Carter Jr.,26,ORL,C,33,33,1000,0.524,13.2,0.620,0.303,0.148,0.111,0.059,0.380,0.607,0.756,0.400,0.533,0.500,0.388,0.725,1.000,0.173,40,0.350,0.389,0,0,,cartewe01
43,Lauri Markkanen,28,UTA,PF,28,28,995,0.473,14.4,0.583,0.200,0.248,0.083,0.053,0.417,0.550,0.716,0.511,0.467,0.241,0.366,0.726,0.940,0.090,44,0.194,0.500,0,0,,markkla01
44,Jabari Smith Jr.,22,HOU,PF,29,29,994,0.462,16.4,0.507,0.167,0.153,0.114,0.072,0.493,0.538,0.700,0.545,0.439,0.308,0.384,0.612,0.941,0.064,23,0.373,0.409,0,0,,smithja05
45,CJ McCollum,34,WAS,SG,32,32,990,0.442,17.2,0.529,0.114,0.174,0.157,0.085,0.471,0.496,0.636,0.429,0.513,0.415,0.382,0.323,0.655,0.002,1,0.132,0.367,0,0,,mccolcj01
46,Myles Turner,29,MIL,C,34,34,984,0.420,18.6,0.390,0.151,0.118,0.076,0.045,0.610,0.481,0.580,0.436,0.360,0.467,0.381,0.726,1.000,0.039,12,0.168,0.441,0,0,,turnemy01
47,Josh Giddey,23,CHI,PG,30,30,984,0.466,12.1,0.662,0.303,0.270,0.054,0.035,0.338,0.507,0.631,0.422,0.478,0.133,0.386,0.313,0.857,0.016,7,0.145,0.381,0,0,,giddejo01
48,Harrison Barnes,33,SAS,PF,33,33,972,0.458,16.8,0.411,0.154,0.177,0.074,0.007,0.589,0.553,0.783,0.472,0.273,0.500,0.392,0.456,0.957,0.023,7,0.489,0.430,0,0,,barneha02
49,Royce O'Neale,32,PHO,SF,33,28,970,0.433,22.5,0.191,0.061,0.090,0.032,0.007,0.809,0.472,0.647,0.360,0.444,0.500,0.424,0.560,0.947,0.011,3,0.179,0.525,0,0,,onealro01
50,Naji Marshall,28,DAL,SF,34,13,967,0.535,12.3,0.677,0.224,0.307,0.112,0.033,0.323,0.639,0.824,0.581,0.559,0.200,0.316,0.580,0.903,0.017,5,0.500,0.327,0,0,,marshna01
51,Nikola Vučević,35,CHI,C,32,32,962,0.494,13.4,0.642,0.208,0.297,0.098,0.037,0.358,0.558,0.674,0.504,0.548,0.375,0.379,0.797,0.983,0.012,5,0.098,0.200,0,0,,vucevni01
