Table 1
,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
231,Craig Porter Jr.,25,CLE,PG,30,0,497,0.504,12.8,0.650,0.299,0.171,0.162,0.017,0.350,0.566,0.714,0.450,0.368,1.000,0.390,0.512,0.750,0.051,6,0.195,0.500,0,0,,portecr01
232,LeBron James,41,LAL,SF,15,15,493,0.496,12.9,0.683,0.243,0.252,0.117,0.070,0.317,0.580,0.679,0.552,0.444,0.563,0.315,0.495,0.696,0.083,18,0.219,0.250,0,0,,jamesle01
233,Jalen Smith,25,CHI,C,28,1,489,0.472,15.1,0.451,0.337,0.098,0.000,0.016,0.549,0.598,0.708,0.263,,0.333,0.368,0.769,1.000,0.062,10,0.217,0.478,0,0,,smithja04
234,Dylan Harper,19,SAS,SG,23,0,488,0.452,9.9,0.752,0.426,0.204,0.078,0.043,0.248,0.520,0.653,0.426,0.111,0.400,0.246,0.311,0.857,0.030,7,0.246,0.357,0,0,,harpedy01
235,Daniel Gafford,27,DAL,C,23,15,481,0.632,3.1,1.000,0.614,0.368,0.000,0.018,0.000,0.632,0.757,0.429,,0.500,,0.667,,0.281,24,,,0,0,,gaffoda01
236,Vince Williams Jr.,25,MEM,PG,22,11,481,0.337,17.2,0.434,0.139,0.205,0.072,0.018,0.566,0.417,0.435,0.412,0.500,0.000,0.277,0.367,0.846,0.018,2,0.160,0.200,0,0,,willivi01
237,Ja Morant,26,MEM,PG,17,17,479,0.402,12.6,0.732,0.221,0.261,0.174,0.076,0.268,0.470,0.656,0.417,0.417,0.238,0.216,0.242,0.688,0.029,7,0.122,0.556,0,0,,moranja01
238,Anthony Davis,32,DAL,PF,16,16,479,0.521,9.3,0.882,0.354,0.247,0.144,0.137,0.118,0.547,0.731,0.446,0.421,0.389,0.323,0.543,0.900,0.137,31,0.129,0.500,0,0,,davisan02
239,Bilal Coulibaly,21,WAS,SG,18,18,478,0.378,13.5,0.551,0.269,0.231,0.038,0.013,0.449,0.477,0.714,0.278,0.000,0.500,0.257,0.390,1.000,0.154,20,0.386,0.370,0,0,,coulibi01
240,D'Angelo Russell,29,DAL,PG,25,3,476,0.405,17.5,0.505,0.086,0.194,0.153,0.072,0.495,0.509,0.632,0.488,0.529,0.375,0.300,0.298,0.758,0.000,0,0.155,0.118,0,0,,russeda01
241,Yves Missi,21,NOP,C,27,6,474,0.575,2.4,1.000,0.717,0.245,0.038,0.000,0.000,0.575,0.658,0.385,0.250,,,0.574,,0.226,19,,,0,0,,missiyv01
242,Day'Ron Sharpe,24,BRK,C,29,0,470,0.608,6.8,0.816,0.520,0.296,0.000,0.000,0.184,0.686,0.831,0.432,,,0.261,0.529,1.000,0.160,17,0.348,0.375,0,0,,sharpda01
243,Aaron Wiggins,27,OKC,SG,21,5,468,0.446,15.7,0.457,0.239,0.163,0.043,0.011,0.543,0.512,0.614,0.400,0.375,0.500,0.390,0.628,0.872,0.027,5,0.290,0.379,0,0,,wiggiaa01
244,Sam Merrill,29,CLE,SG,18,11,466,0.454,22.1,0.184,0.080,0.034,0.040,0.029,0.816,0.594,0.929,0.500,0.000,0.600,0.423,0.789,0.900,0.000,0,0.169,0.500,0,0,,merrisa01
245,Kobe Sanders,23,LAC,SG,24,3,459,0.443,16.6,0.496,0.148,0.165,0.087,0.096,0.504,0.509,0.765,0.421,0.300,0.455,0.379,0.586,1.000,0.052,6,0.397,0.478,0,0,,sandeko01
246,Jaylin Williams,23,OKC,PF,25,3,458,0.355,22.1,0.177,0.081,0.056,0.008,0.032,0.823,0.636,0.900,0.286,1.000,0.500,0.294,0.857,1.000,0.024,3,0.235,0.167,0,0,,willija07
247,Walter Clayton,22,UTA,PG,28,0,454,0.427,17.4,0.469,0.056,0.287,0.063,0.063,0.531,0.567,0.500,0.561,0.667,0.556,0.303,0.368,0.783,0.014,2,0.079,0.000,0,0,,claytwa01
248,Ochai Agbaji,25,TOR,SG,27,11,452,0.424,10.0,0.661,0.492,0.153,0.008,0.008,0.339,0.551,0.621,0.333,1.000,0.000,0.175,0.767,1.000,0.119,11,0.575,0.174,0,0,,agbajoc01
249,Coby White,25,CHI,SG,16,14,449,0.445,15.6,0.505,0.289,0.124,0.041,0.050,0.495,0.564,0.714,0.333,0.556,0.273,0.324,0.323,0.800,0.005,0,0.130,0.571,0,0,,whiteco01
250,Jaxson Hayes,25,LAL,C,26,4,448,0.780,2.7,0.988,0.695,0.293,0.000,0.000,0.012,0.778,0.842,0.625,,,1.000,0.746,1.000,0.585,43,0.000,,0,0,,hayesja02
251,Justin Edwards,22,PHI,SF,28,5,447,0.367,19.4,0.331,0.101,0.137,0.072,0.022,0.669,0.435,0.643,0.368,0.200,0.667,0.333,0.500,0.935,0.022,3,0.204,0.316,0,0,,edwarju01
252,Jalen Williams,24,OKC,SG,15,15,447,0.452,10.7,0.814,0.217,0.312,0.226,0.059,0.186,0.483,0.646,0.449,0.420,0.308,0.317,0.322,0.769,0.072,15,0.146,0.333,0,0,,willija06
253,Jonathan Kuminga,23,GSW,PF,18,13,446,0.431,11.2,0.724,0.243,0.326,0.122,0.033,0.276,0.473,0.614,0.458,0.318,0.167,0.320,0.468,0.938,0.127,19,0.340,0.353,0,0,,kuminjo01
254,Jordan Poole,26,NOP,PG,16,4,445,0.378,18.3,0.378,0.189,0.129,0.032,0.028,0.622,0.512,0.561,0.464,0.429,0.500,0.296,0.357,0.725,0.000,0,0.119,0.563,0,0,,poolejo01
255,Alex Caruso,31,OKC,SG,24,0,444,0.426,16.9,0.372,0.186,0.155,0.031,0.000,0.628,0.604,0.750,0.400,0.750,,0.321,0.759,1.000,0.047,5,0.420,0.265,0,0,,carusal01
256,Jaylen Clark,24,MIN,SG,31,0,443,0.425,13.4,0.531,0.301,0.186,0.044,0.000,0.469,0.533,0.618,0.524,0.000,,0.302,0.469,1.000,0.053,6,0.679,0.333,1,0,,clarkja02
257,Jonas Valančiūnas,33,DEN,C,33,1,438,0.593,7.7,0.938,0.289,0.423,0.175,0.052,0.062,0.615,0.625,0.659,0.588,0.300,0.250,0.571,1.000,0.067,9,0.000,,0,0,,valanjo01
258,Ryan Nembhard,22,DAL,PG,21,15,437,0.470,16.8,0.651,0.074,0.161,0.221,0.195,0.349,0.515,0.727,0.417,0.485,0.552,0.385,0.220,0.900,0.000,0,0.173,0.222,0,0,,nembhry01
259,Paul George,35,PHI,PF,15,15,431,0.403,18.4,0.490,0.107,0.071,0.179,0.133,0.510,0.406,0.714,0.286,0.229,0.462,0.400,0.385,0.750,0.005,1,0.240,0.417,0,0,,georgpa01
260,Tre Mann,24,CHO,PG,23,1,430,0.350,17.2,0.485,0.135,0.200,0.115,0.035,0.515,0.402,0.593,0.325,0.261,0.571,0.301,0.256,0.710,0.010,2,0.194,0.400,0,0,,manntr01
261,Jared McCain,21,PHI,SG,22,1,428,0.359,16.0,0.521,0.198,0.168,0.096,0.060,0.479,0.391,0.576,0.214,0.438,0.200,0.325,0.353,0.846,0.000,0,0.238,0.421,0,0,,mccaija01
262,Brook Lopez,37,LAC,C,25,4,427,0.405,21.3,0.318,0.034,0.162,0.101,0.020,0.682,0.404,0.400,0.375,0.467,0.333,0.406,0.684,1.000,0.014,2,0.079,0.250,0,0,,lopezbr01
263,Micah Peavy,24,NOP,SG,29,1,423,0.408,11.3,0.662,0.331,0.238,0.077,0.015,0.338,0.477,0.628,0.355,0.100,1.000,0.273,0.659,1.000,0.077,9,0.477,0.286,0,0,,peavymi01
264,Jarred Vanderbilt,26,LAL,PF,22,2,423,0.464,10.7,0.607,0.464,0.131,0.000,0.012,0.393,0.490,0.564,0.273,,0.000,0.424,0.520,0.929,0.167,12,0.970,0.438,0,0,,vandeja01
265,Nikola Jović,22,MIA,PF,22,1,419,0.399,15.4,0.481,0.234,0.215,0.019,0.013,0.519,0.487,0.568,0.441,0.333,0.000,0.317,0.649,0.962,0.006,1,0.171,0.143,0,0,,jovicni01
266,Kelly Oubre Jr.,30,PHI,SF,12,12,418,0.497,14.8,0.550,0.208,0.235,0.067,0.040,0.450,0.622,0.806,0.514,0.400,0.667,0.343,0.549,0.957,0.067,9,0.239,0.500,0,0,,oubreke01
267,Jericho Sims,27,MIL,C,27,4,415,0.833,2.5,1.000,0.792,0.125,0.083,0.000,0.000,0.833,0.895,0.667,0.500,,,0.825,,0.563,24,,,0,0,,simsje01
268,Daniss Jenkins,24,DET,PG,27,6,410,0.424,14.7,0.636,0.139,0.261,0.170,0.067,0.364,0.467,0.652,0.442,0.393,0.364,0.350,0.286,0.952,0.018,2,0.217,0.462,1,1,,jenkida01
269,Aaron Nesmith,26,IND,SF,14,11,409,0.371,18.0,0.411,0.166,0.114,0.069,0.063,0.589,0.347,0.448,0.400,0.167,0.182,0.388,0.840,0.950,0.034,3,0.233,0.458,0,0,,nesmiaa01
270,Mitchell Robinson,27,NYK,C,22,11,406,0.689,0.9,1.000,0.918,0.066,0.016,0.000,0.000,0.689,0.679,0.750,1.000,,,0.500,,0.525,29,,,0,0,,robinmi01
271,Cole Anthony,25,MIL,PG,27,0,404,0.428,14.0,0.699,0.139,0.260,0.225,0.075,0.301,0.488,0.625,0.444,0.462,0.462,0.288,0.169,0.600,0.012,0,0.231,0.333,0,0,,anthoco01
272,Hugo González,19,BOS,SF,27,1,401,0.521,12.2,0.606,0.330,0.234,0.011,0.032,0.394,0.614,0.774,0.455,0.000,0.333,0.378,0.571,1.000,0.085,7,0.405,0.400,0,0,,gonzahu01
273,Jrue Holiday,35,POR,PG,12,12,401,0.446,16.5,0.488,0.157,0.181,0.114,0.036,0.512,0.531,0.654,0.500,0.421,0.500,0.365,0.372,0.452,0.012,2,0.129,0.455,0,0,,holidjr01
274,Adem Bona,22,PHI,C,23,3,393,0.556,3.7,0.907,0.741,0.167,0.000,0.000,0.093,0.571,0.625,0.333,,,0.400,0.500,1.000,0.370,14,0.800,0.250,0,0,,bonaad01
275,Jabari Walker,23,PHI,PF,29,6,390,0.433,12.0,0.577,0.423,0.113,0.021,0.021,0.423,0.536,0.610,0.364,0.000,0.500,0.293,0.400,1.000,0.072,6,0.415,0.294,0,0,,walkeja01
276,Joel Embiid,31,PHI,C,14,14,389,0.437,13.8,0.731,0.235,0.126,0.210,0.155,0.269,0.506,0.625,0.500,0.460,0.405,0.250,0.636,0.875,0.017,0,0.031,0.000,0,0,,embiijo01
277,Bryce McGowens,23,NOP,SG,21,8,387,0.486,10.3,0.686,0.381,0.248,0.048,0.010,0.314,0.486,0.550,0.385,0.400,1.000,0.485,0.457,0.938,0.086,6,0.455,0.467,0,0,,mcgowbr01
278,Keaton Wallace,26,ATL,PG,30,2,384,0.407,20.1,0.370,0.037,0.120,0.167,0.046,0.630,0.400,0.500,0.462,0.389,0.200,0.412,0.250,0.893,0.009,1,0.088,0.500,0,0,,wallake01
279,Tyler Kolek,24,NYK,PG,29,1,380,0.458,14.9,0.550,0.229,0.183,0.122,0.015,0.450,0.556,0.633,0.500,0.438,1.000,0.339,0.350,0.750,0.000,0,0.119,0.429,0,0,,kolekty01
280,Gary Payton II,33,GSW,SG,32,1,378,0.526,9.5,0.690,0.474,0.207,0.009,0.000,0.310,0.625,0.745,0.375,0.000,,0.306,0.800,1.000,0.103,12,0.417,0.333,0,0,,paytoga02
281,Drew Eubanks,28,SAC,C,26,11,373,0.621,5.7,0.979,0.368,0.474,0.126,0.011,0.021,0.624,0.829,0.489,0.583,0.000,0.500,0.862,1.000,0.263,22,1.000,0.500,0,0,,eubandr01
282,Drake Powell,20,BRK,SG,21,0,372,0.478,16.2,0.533,0.144,0.156,0.167,0.067,0.467,0.583,0.846,0.500,0.467,0.500,0.357,0.464,0.867,0.033,3,0.238,0.200,0,0,,poweldr01
283,T.J. McConnell,33,IND,PG,22,0,369,0.548,11.7,0.881,0.169,0.237,0.333,0.141,0.119,0.577,0.700,0.476,0.559,0.640,0.333,0.211,0.857,0.000,0,0.143,0.667,0,0,,mccontj01
284,Aaron Gordon,30,DEN,PF,13,13,368,0.532,13.7,0.591,0.305,0.149,0.065,0.071,0.409,0.593,0.830,0.348,0.300,0.364,0.444,0.574,0.786,0.130,18,0.206,0.462,0,0,,gordoaa01
285,Gary Harris,31,MIL,SG,25,0,367,0.500,16.1,0.442,0.135,0.192,0.096,0.019,0.558,0.565,0.857,0.400,0.600,0.000,0.448,0.692,1.000,0.000,0,0.690,0.500,0,0,,harriga01
286,Jordan Hawkins,23,NOP,SG,26,0,366,0.336,20.0,0.445,0.066,0.066,0.080,0.234,0.555,0.344,0.556,0.111,0.273,0.375,0.329,0.714,0.920,0.029,1,0.184,0.643,0,0,,hawkijo01
287,Tari Eason,24,HOU,PF,16,4,365,0.507,15.9,0.478,0.239,0.130,0.058,0.051,0.522,0.530,0.788,0.444,0.125,0.000,0.486,0.314,0.971,0.072,10,0.500,0.583,1,1,,easonta01
288,Domantas Sabonis,29,SAC,C,11,11,365,0.510,7.1,0.862,0.400,0.366,0.090,0.007,0.138,0.560,0.672,0.415,0.692,0.000,0.200,0.714,1.000,0.097,14,0.150,0.333,0,0,,sabondo01
289,Derrick Jones Jr.,28,LAC,SF,15,13,362,0.525,13.9,0.525,0.248,0.248,0.010,0.020,0.475,0.679,0.920,0.440,1.000,0.500,0.354,0.722,1.000,0.149,15,0.458,0.318,0,0,,jonesde02
290,Bogdan Bogdanović,33,LAC,SG,16,3,360,0.376,19.3,0.385,0.111,0.120,0.103,0.051,0.615,0.444,0.615,0.214,0.583,0.333,0.333,0.250,0.583,0.000,0,0.125,0.556,0,0,,bogdabo01
291,Nae'Qwan Tomlin,25,CLE,PF,24,2,359,0.472,10.5,0.624,0.512,0.096,0.016,0.000,0.376,0.603,0.672,0.333,0.000,,0.255,0.681,0.917,0.184,19,0.532,0.280,0,0,,tomlina01
292,Luka Garza,27,BOS,C,24,1,356,0.592,11.1,0.663,0.408,0.173,0.071,0.010,0.337,0.662,0.725,0.529,0.571,1.000,0.455,0.512,1.000,0.031,3,0.212,0.429,0,0,,garzalu01
293,Aaron Holiday,29,HOU,PG,24,0,356,0.429,19.9,0.333,0.063,0.151,0.095,0.024,0.667,0.429,0.500,0.684,0.083,0.000,0.429,0.333,0.944,0.000,0,0.321,0.481,0,0,,holidaa01
294,Robert Williams,28,POR,C,22,1,354,0.693,4.7,0.898,0.636,0.227,0.023,0.011,0.102,0.759,0.786,0.700,0.500,1.000,0.111,0.700,1.000,0.557,42,0.778,0.000,0,0,,williro04
295,Cam Whitmore,21,WAS,SF,21,0,354,0.456,12.1,0.669,0.361,0.213,0.047,0.047,0.331,0.540,0.770,0.278,0.375,0.125,0.286,0.590,0.625,0.142,19,0.054,0.000,0,0,,whitmca01
296,Kristaps Porziņģis,30,ATL,C,14,12,354,0.497,15.4,0.609,0.196,0.173,0.117,0.123,0.391,0.578,0.686,0.516,0.524,0.545,0.371,0.603,1.000,0.106,17,0.157,0.636,0,0,,porzikr01
297,Corey Kispert,26,WAS,SF,18,2,351,0.495,18.0,0.360,0.189,0.153,0.018,0.000,0.640,0.675,0.810,0.471,1.000,,0.394,0.778,0.964,0.027,3,0.225,0.375,0,0,,kispeco01
298,Dalton Knecht,24,LAL,SF,26,1,346,0.475,17.8,0.432,0.161,0.110,0.136,0.025,0.568,0.627,0.789,0.462,0.563,0.667,0.358,0.688,0.958,0.085,8,0.239,0.313,0,0,,knechda01
299,Pat Spencer,29,GSW,PG,23,3,342,0.425,12.5,0.709,0.164,0.328,0.187,0.030,0.291,0.442,0.727,0.364,0.320,0.500,0.385,0.286,0.800,0.007,1,0.282,0.182,0,0,,spencpa01
300,Tidjane Salaün,20,CHO,PF,20,0,336,0.505,15.0,0.485,0.278,0.206,0.000,0.000,0.515,0.574,0.778,0.300,,,0.440,0.741,0.955,0.062,5,0.300,0.533,0,0,,salauti01
301,Bones Hyland,25,MIN,PG,25,3,333,0.458,18.2,0.358,0.217,0.083,0.033,0.025,0.642,0.628,0.692,0.400,1.000,0.333,0.364,0.407,0.714,0.000,0,0.130,0.300,0,0,,hylanbo01
302,Baylor Scheierman,25,BOS,SG,28,0,330,0.491,21.7,0.193,0.088,0.070,0.035,0.000,0.807,0.818,0.800,0.750,1.000,,0.413,0.778,1.000,0.018,1,0.304,0.643,0,0,,scheiba01
303,Christian Braun,24,DEN,SG,11,11,325,0.495,10.5,0.711,0.433,0.206,0.010,0.062,0.289,0.609,0.667,0.550,1.000,0.333,0.214,0.762,1.000,0.103,9,0.107,0.667,0,0,,braunch01
304,Will Riley,19,WAS,SF,26,0,321,0.423,13.3,0.673,0.183,0.337,0.106,0.048,0.327,0.500,0.737,0.429,0.545,0.000,0.265,0.571,0.889,0.077,7,0.118,0.500,0,0,,rileywi01
305,Al Horford,39,GSW,C,16,1,321,0.367,20.7,0.265,0.041,0.153,0.051,0.020,0.735,0.462,0.500,0.400,0.600,0.500,0.333,0.750,1.000,0.000,0,0.264,0.474,0,0,,horfoal01
306,Taylor Hendricks,22,UTA,PF,21,4,319,0.471,14.3,0.483,0.195,0.264,0.023,0.000,0.517,0.571,0.647,0.478,1.000,,0.378,0.875,1.000,0.103,9,0.578,0.462,0,0,,hendrta01
307,Kevin Love,37,UTA,PF,19,1,318,0.415,20.0,0.255,0.151,0.075,0.019,0.009,0.745,0.556,0.563,0.375,1.000,1.000,0.367,0.467,1.000,0.000,0,0.165,0.538,0,0,,loveke01
308,Landry Shamet,28,NYK,SG,15,6,314,0.452,19.4,0.290,0.161,0.032,0.075,0.022,0.710,0.519,0.600,0.000,0.571,0.500,0.424,0.643,1.000,0.011,1,0.470,0.484,0,0,,shamela01
309,Clint Capela,31,HOU,C,28,1,309,0.548,2.5,1.000,0.702,0.286,0.012,0.000,0.000,0.548,0.627,0.375,0.000,,,0.565,,0.250,18,,,0,0,,capelca01
310,Jeremy Sochan,22,SAS,PF,21,0,309,0.494,9.8,0.701,0.425,0.241,0.023,0.011,0.299,0.590,0.703,0.476,0.000,0.000,0.269,0.778,1.000,0.184,12,0.423,0.455,0,0,,sochaje01
311,Tony Bradley,28,IND,C,28,3,304,0.563,4.5,0.988,0.525,0.363,0.038,0.063,0.013,0.570,0.643,0.448,0.667,0.600,0.000,0.689,,0.063,5,1.000,0.000,0,0,,bradlto01
312,Jonathan Isaac,28,ORL,PF,29,0,303,0.426,12.3,0.559,0.368,0.162,0.015,0.015,0.441,0.605,0.680,0.545,0.000,0.000,0.200,0.609,1.000,0.250,15,0.667,0.250,0,0,,isaacjo01
313,Gabe Vincent,29,LAL,PG,14,6,301,0.350,22.4,0.217,0.017,0.083,0.083,0.033,0.783,0.308,1.000,0.200,0.400,0.000,0.362,0.500,0.882,0.000,0,0.298,0.500,0,0,,vincega01
314,Jeremiah Robinson-Earl,25,IND,PF,17,3,300,0.349,12.3,0.602,0.349,0.169,0.060,0.024,0.398,0.420,0.448,0.286,0.600,0.500,0.242,0.476,1.000,0.024,2,0.485,0.188,0,0,,robinje02
315,Trayce Jackson-Davis,25,GSW,C,23,1,298,0.620,2.4,1.000,0.676,0.324,0.000,0.000,0.000,0.620,0.750,0.348,,,,0.773,,0.352,22,,,0,0,,jackstr02
316,Dwight Powell,34,DAL,C,24,1,293,0.613,2.7,1.000,0.710,0.258,0.000,0.032,0.000,0.613,0.591,0.625,,1.000,,0.947,,0.161,3,,,0,0,,poweldw01
317,Tristan Vukcevic,22,WAS,C,25,2,290,0.460,14.9,0.595,0.206,0.183,0.159,0.048,0.405,0.627,0.692,0.739,0.550,0.167,0.216,0.830,0.909,0.063,6,0.059,0.333,0,0,,vukcetr01
318,Rob Dillingham,21,MIN,PG,28,0,289,0.355,12.2,0.760,0.240,0.248,0.132,0.140,0.240,0.359,0.517,0.233,0.500,0.176,0.345,0.394,0.800,0.017,2,0.207,0.500,0,0,,dilliro01
319,Danny Wolf,21,BRK,PF,16,0,289,0.383,14.7,0.542,0.243,0.224,0.028,0.047,0.458,0.397,0.538,0.333,0.000,0.200,0.367,0.609,0.944,0.037,4,0.184,0.222,0,0,,wolfda01
320,John Konchar,29,MEM,SG,22,0,286,0.510,15.0,0.451,0.333,0.078,0.020,0.020,0.549,0.739,0.824,0.750,0.000,0.000,0.321,0.765,1.000,0.020,1,0.536,0.333,0,0,,konchjo01
321,Trendon Watford,25,PHI,PF,14,4,286,0.534,9.0,0.795,0.307,0.409,0.057,0.023,0.205,0.571,0.593,0.611,0.200,0.500,0.389,0.525,1.000,0.034,3,0.278,0.200,0,0,,watfotr01
322,Tyrese Proctor,21,CLE,PG,25,1,285,0.344,19.2,0.369,0.115,0.123,0.074,0.057,0.631,0.422,0.571,0.267,0.444,0.429,0.299,0.368,0.826,0.008,1,0.156,0.250,0,0,,proctty01
323,Jaden Ivey,23,DET,SG,18,0,285,0.470,15.5,0.530,0.174,0.217,0.113,0.026,0.470,0.525,0.500,0.560,0.385,1.000,0.407,0.719,0.909,0.017,2,0.241,0.462,0,0,,iveyja01
324,Liam McNeeley,20,CHO,SF,22,0,284,0.408,18.8,0.329,0.132,0.158,0.039,0.000,0.671,0.440,0.700,0.333,0.000,,0.392,0.636,0.950,0.000,0,0.373,0.421,0,0,,mcneeli01
325,Zach Edey,23,MEM,C,11,11,284,0.633,5.2,0.949,0.418,0.469,0.061,0.000,0.051,0.656,0.732,0.630,0.333,,0.200,0.820,1.000,0.194,17,0.000,,0,0,,edeyza01
326,Terrence Shannon Jr.,25,MIN,SG,22,0,282,0.395,13.5,0.543,0.346,0.148,0.037,0.012,0.457,0.386,0.571,0.083,0.000,0.000,0.405,0.588,0.800,0.049,3,0.459,0.294,0,0,,shannte01
327,Asa Newell,20,ATL,PF,25,0,280,0.573,13.2,0.510,0.365,0.146,0.000,0.000,0.490,0.653,0.743,0.429,,,0.489,0.625,1.000,0.156,12,0.681,0.438,0,0,,newelas01
328,Jalen Wilson,25,BRK,PF,21,0,280,0.375,19.1,0.330,0.114,0.170,0.034,0.011,0.670,0.414,0.400,0.400,0.667,0.000,0.356,0.583,1.000,0.000,0,0.237,0.357,0,0,,wilsoja03
329,Trae Young,27,ATL,PG,10,10,280,0.415,16.6,0.563,0.156,0.178,0.156,0.074,0.437,0.500,0.619,0.500,0.476,0.300,0.305,0.395,0.556,0.000,0,0.119,0.429,0,0,,youngtr01
330,Guerschon Yabusele,30,NYK,C,28,0,275,0.416,18.2,0.312,0.208,0.065,0.026,0.013,0.688,0.583,0.688,0.400,0.000,1.000,0.340,0.714,0.944,0.013,1,0.415,0.455,0,0,,yabusgu01
331,Jaden Hardy,23,DAL,SG,24,1,266,0.409,17.9,0.400,0.113,0.157,0.104,0.026,0.600,0.457,0.538,0.444,0.500,0.000,0.377,0.524,0.731,0.009,0,0.275,0.316,0,0,,hardyja02
332,Cam Thomas,24,BRK,SG,10,8,265,0.421,15.4,0.648,0.126,0.201,0.189,0.132,0.352,0.456,0.650,0.344,0.567,0.286,0.357,0.383,0.550,0.006,1,0.089,0.400,0,0,,thomaca02
333,Caleb Martin,30,DAL,SF,27,0,264,0.354,11.6,0.708,0.313,0.229,0.063,0.104,0.292,0.441,0.733,0.182,0.000,0.400,0.143,0.600,1.000,0.083,2,0.643,0.111,0,0,,martica02
334,Thomas Bryant,28,CLE,C,27,0,256,0.511,13.5,0.533,0.370,0.141,0.022,0.000,0.467,0.673,0.735,0.615,0.000,,0.326,0.758,1.000,0.196,16,0.116,0.600,0,0,,bryanth01
335,Rayan Rupert,21,POR,SG,27,0,255,0.359,14.0,0.547,0.281,0.141,0.094,0.031,0.453,0.429,0.611,0.111,0.500,0.000,0.276,0.600,0.875,0.000,0,0.345,0.200,0,0,,ruperra01
336,Ethan Thompson,26,IND,SG,13,5,253,0.391,20.1,0.297,0.078,0.078,0.109,0.031,0.703,0.526,0.800,0.800,0.143,0.500,0.333,0.800,1.000,0.000,0,0.467,0.333,0,0,,thompet01
337,Paul Reed,26,DET,C,25,2,251,0.613,7.6,0.849,0.387,0.344,0.086,0.032,0.151,0.646,0.694,0.625,0.625,0.333,0.429,0.765,0.833,0.129,11,0.286,0.500,0,0,,reedpa01
338,Branden Carlson,26,OKC,C,24,1,251,0.573,13.9,0.506,0.382,0.101,0.011,0.011,0.494,0.756,0.824,0.667,0.000,0.000,0.386,0.824,1.000,0.292,23,0.182,0.375,0,0,,carlsbr01
339,Nick Richards,28,PHO,C,26,2,250,0.478,5.1,1.000,0.377,0.449,0.130,0.043,0.000,0.478,0.692,0.323,0.444,0.333,,0.727,,0.217,14,,,0,0,,richani01
340,Karlo Matković,24,NOP,PF,22,0,250,0.620,7.8,0.746,0.563,0.183,0.000,0.000,0.254,0.679,0.800,0.308,,,0.444,0.778,1.000,0.479,29,0.278,0.600,0,0,,matkoka01
341,Jett Howard,22,ORL,SF,23,0,249,0.417,18.9,0.323,0.104,0.198,0.010,0.010,0.677,0.581,0.700,0.474,1.000,1.000,0.338,0.556,0.955,0.010,1,0.215,0.357,0,0,,howarje01
342,Gui Santos,23,GSW,PF,25,1,247,0.456,17.7,0.368,0.235,0.088,0.029,0.015,0.632,0.640,0.688,0.667,0.000,1.000,0.349,0.875,1.000,0.029,2,0.256,0.545,0,0,,santogu01
343,Jamaree Bouyea,26,PHO,PG,17,0,247,0.552,14.2,0.615,0.198,0.229,0.094,0.094,0.385,0.627,0.947,0.545,0.444,0.333,0.432,0.378,0.625,0.052,4,0.324,0.500,0,0,,bouyeja01
344,Jase Richardson,20,ORL,SG,23,0,244,0.477,14.1,0.580,0.239,0.205,0.091,0.045,0.420,0.549,0.667,0.500,0.375,0.500,0.378,0.607,0.929,0.045,3,0.297,0.636,0,0,,richaja02
345,Cody Williams,21,UTA,SG,19,0,242,0.348,13.0,0.580,0.188,0.362,0.000,0.029,0.420,0.525,0.769,0.440,,0.000,0.103,0.667,1.000,0.087,3,0.690,0.100,0,0,,willico04
346,Larry Nance Jr.,33,CLE,PF,16,2,240,0.354,14.1,0.492,0.323,0.123,0.046,0.000,0.508,0.406,0.571,0.000,0.333,,0.303,0.769,1.000,0.154,9,0.515,0.412,0,0,,nancela02
347,Kobe Brown,26,LAC,PF,21,0,233,0.369,17.7,0.354,0.154,0.185,0.015,0.000,0.646,0.609,0.800,0.500,0.000,,0.238,0.643,1.000,0.123,8,0.357,0.267,0,0,,brownko01
348,Johnny Furphy,21,IND,SG,16,3,231,0.527,13.5,0.527,0.309,0.200,0.000,0.018,0.473,0.690,0.765,0.636,,0.000,0.346,0.800,1.000,0.109,6,0.500,0.308,0,0,,furphjo01
349,Nick Smith Jr.,21,LAL,SG,14,1,230,0.440,18.7,0.480,0.050,0.170,0.210,0.050,0.520,0.479,0.600,0.529,0.381,0.600,0.404,0.261,0.667,0.010,1,0.115,0.167,0,0,,smithni01
350,Chris Paul,40,LAC,PG,16,0,228,0.321,19.3,0.464,0.018,0.125,0.232,0.089,0.536,0.308,1.000,0.429,0.154,0.400,0.333,0.125,0.500,0.000,0,0.133,0.500,0,0,,paulch01
351,Julian Phillips,22,CHI,SF,23,2,227,0.439,13.9,0.456,0.368,0.088,0.000,0.000,0.544,0.615,0.714,0.200,,,0.290,0.750,1.000,0.263,13,0.710,0.318,0,0,,phillju01
