id,name,bat_side,side,avg_batter_y_position,avg_batter_x_position,avg_foot_sep,avg_stance_angle,avg_intercept_y_vs_batter,avg_intercept_y_vs_plate
680776,"Duran, Jarren",L,L,28.547251400468700,30.500117753568400,24.03692128136380,-1.7865508168103100,31.711843136756000,3.1645917362873400
691406,"Caminero, Junior",R,R,28.236738716933100,28.636862015076400,26.862154745580000,-34.618231970640500,35.90535695513940,7.668618238206300
682998,"Carroll, Corbin",L,L,30.66264089100780,29.911065586140700,25.803038003433900,-2.73328039679565,36.64063314500270,5.977992253994860
668930,"Turang, Brice",L,L,30.596364132991700,26.812830788304200,26.016004838821200,-5.755031802967950,31.86196285379550,1.265598720803810
671739,"Harris II, Michael",L,L,31.006390671284500,28.526958167712500,20.55176061229100,-18.00459561187540,30.786742096625900,-0.21964857465852900
607208,"Turner, Trea",R,R,28.881553628604000,28.791198368560600,38.29478065770310,0.723545751835172,29.335044418300700,0.4534907896966820
641487,"Crawford, J.P.",L,L,34.92258681308940,27.63642754227120,30.039796990338800,-29.373077114741500,36.60849635659760,1.6859095435081800
607043,"Nimmo, Brandon",L,L,28.262465123408300,31.486811660877200,25.3401542650291,-10.608802984349300,26.883388902610600,-1.3790762207977200
661388,"Contreras, William",R,R,28.538337533394100,27.959623282822200,30.03997353300970,5.16677862896019,30.22662511315950,1.6882875797653700
592885,"Yelich, Christian",L,L,27.755279087065000,29.91192793483400,32.75868409212050,0.9167708532405780,26.752428406590800,-1.002850680474250
664040,"Lowe, Brandon",L,L,27.04627060685540,26.609439933688300,21.345255343912200,-3.0901769246587800,34.097971344822400,7.051700737967020
683002,"Henderson, Gunnar",L,L,26.66754126076990,25.81640532098390,31.049117573575600,-4.03828925254668,33.418353390014600,6.750812129244640
671732,"Butler, Lawrence",L,L,25.895666970416200,31.230073966857500,34.1026540524843,3.869519474607590,28.81082566392810,2.9151586935119100
679529,"Torkelson, Spencer",R,R,32.94405804309670,27.978227338408700,25.904277615071900,-17.33928381377020,30.683048219551900,-2.2610098235447800
666182,"Bichette, Bo",R,R,27.366350478736000,25.099317761215700,33.760210667683900,2.4596655917326500,24.542980547030700,-2.823369931705300
682928,"Abrams, CJ",L,L,27.83522263561730,30.03325299345150,31.925725783490200,-3.7455253929743800,31.695244797846600,3.860022162229320
663993,"Lowe, Nathaniel",L,L,26.287145984712700,29.9767358195168,32.987016704559500,-13.229655822566100,27.401495922935400,1.1143499382226900
665487,"Tatis Jr., Fernando",R,R,26.26259051465930,28.961488959795000,24.609482745924200,-38.0066782172895,29.869383234220800,3.6067927195614600
547180,"Harper, Bryce",L,L,23.562322524581500,29.4580472149403,32.855183554352200,-16.324942036961200,33.19954531793920,9.637222793357720
696100,"Goodman, Hunter",R,R,28.67858577269030,29.52527603927110,19.506694260719800,-19.64499985597600,38.77161917374240,10.093033401052200
