all_players_and_stats_2024-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RK,PICK,YEAR,HEIGHT,NAME,,TEAM,CONF,G,ROLE,MIN%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORTG,DRTG,USG,EFG,TS,OR,DR,AST,TO,A/TO,BLK,STL,FTR,FC/40,DUNKS,DUNKS %,CLOSE 2,CLOSE 2 %,FAR 2,FAR 2 %,FT,FT %,2P,2P %,3P/100,3P,3P %
33,6,Fr,6-6,Tre Johnson,99.2,Texas,SEC,33,Combo G,80.6,4.8,3.6,6.6,6.0,0.6,113.0,101.3,27.3,51.1,55.7,1.1,9.0,16.5,11.3,1.5,1.0,1.6,26.5,2.4,7-11,0.636,58-97,0.598,77-204,0.377,121-139,0.871,135-301,0.449,11.5,89-224,0.397
34,3,Fr,6-5,V.J. Edgecombe,99.4,Baylor,B12,32,Wing G,76.2,4.8,4.0,10.0,6.4,3.6,115.8,96.0,24.4,50.7,55.4,7.1,13.6,19.0,15.0,1.7,2.3,3.8,37.7,3.1,33-36,0.917,76-126,0.603,37-96,0.385,109-140,0.779,113-222,0.509,8.7,50-149,0.336
35,-,Sr,6-10,Jacksen Moni,0,North Dakota St.,Sum,26,Stretch 4,68.0,4.8,2.2,5.8,6.4,-0.6,121.1,110.9,32.1,58.4,62.9,4.5,16.7,27.6,14.9,1.5,1.6,1.0,36.3,3.1,2-3,0.667,80-120,0.667,41-90,0.456,110-131,0.840,121-210,0.576,11.3,60-151,0.397
36,57,Sr,6-5,Max Shulga,0,VCU,A10,34,Combo G,83.2,4.8,4.4,9.0,5.8,3.1,125.6,93.7,22.5,53.7,59.4,5.8,14.1,23.2,13.9,2.4,0.4,3.3,51.4,2.4,3-3,1.000,52-90,0.578,27-72,0.375,140-179,0.782,79-162,0.488,9.9,72-186,0.387
37,-,So,6-3,PJ Haggerty,66.2,Memphis,Amer,35,Combo G,90.6,4.7,4.3,5.5,3.8,1.7,113.2,97.8,28.2,51.3,58.3,3.7,13.7,20.4,17.9,1.1,0.3,2.8,52.6,2.5,0-2,0.000,119-197,0.604,90-217,0.415,224-274,0.818,209-414,0.505,4.7,39-107,0.364
38,-,Sr,6-2,Chucky Hepburn,75.4,Louisville,ACC,34,Pure PG,84.3,4.7,4.7,8.2,4.0,4.2,115.2,93.1,25.5,51.4,58.6,1.8,9.4,31.3,19.7,1.9,0.3,4.0,50.0,3.1,1-2,0.500,65-103,0.631,38-89,0.427,162-192,0.844,103-192,0.536,9.4,63-192,0.328
39,-,Sr,5-9,Zakai Zeigler,45.6,Tennessee,SEC,37,Pure PG,83.3,4.7,4.9,8.4,4.8,3.5,114.8,90.7,25.3,49.2,56.0,1.8,7.9,41.8,21.5,2.5,0.9,3.4,48.4,2.2,0-0,0.000,68-125,0.544,16-42,0.381,144-177,0.814,84-167,0.503,9.7,64-199,0.322
40,-,Jr,6-7,Nick Martinelli,0,Northwestern,B10,33,Wing F,92.7,4.6,4.1,3.5,3.7,-0.3,109.2,100.1,27.8,50.1,54.0,7.3,12.7,10.4,11.6,0.9,0.8,1.2,36.6,2.5,2-3,0.667,94-162,0.580,125-275,0.455,142-195,0.728,219-437,0.501,4.7,32-96,0.333
41,-,Jr,6-9,Zuby Ejiofor,89.4,St. John's,BE,36,PF/C,78.3,4.6,4.5,8.3,5.1,3.2,125.5,90.0,21.1,59.4,63.3,14.3,12.5,9.1,14.4,1.0,5.2,1.6,72.9,3.2,46-49,0.939,146-215,0.679,23-50,0.460,160-226,0.708,169-265,0.638,2.2,10-45,0.222
42,-,Sr,6-0,Steven Ashworth,0,Creighton,BE,35,Pure PG,87.0,4.6,3.9,4.2,4.1,0.1,110.4,100.5,26.9,51.8,57.4,1.1,10.6,35.4,20.9,2.0,0.2,1.1,29.2,1.8,0-0,0.000,32-73,0.438,30-71,0.423,119-128,0.930,62-144,0.431,13.8,110-294,0.374
43,-,Sr,6-7,Matthew Cleveland,95.6,Miami FL,ACC,29,Wing G,70.4,4.5,1.7,4.9,6.5,-1.6,119.4,115.8,26.0,55.9,60.0,3.7,14.7,12.1,9.8,1.3,3.1,1.5,39.9,1.8,28-28,1.000,100-144,0.694,49-125,0.392,111-143,0.776,149-269,0.554,6.0,34-89,0.382
44,-,Sr,6-0,RJ Davis,91,North Carolina,ACC,37,Combo G,85.0,4.5,3.5,5.7,4.6,1.2,116.1,101.7,23.8,49.9,55.6,1.1,9.8,19.4,10.7,2.4,0.3,1.7,33.4,2.0,0-0,0.000,70-132,0.530,49-122,0.402,144-165,0.873,119-254,0.469,10.7,85-240,0.354
45,-,Jr,6-8,Alex Karaban,81.2,Connecticut,BE,33,Stretch 4,83.4,4.5,3.8,6.4,5.2,1.2,122.0,100.7,19.6,53.0,56.9,5.9,12.1,14.5,11.5,2.1,4.9,1.0,26.9,2.2,3-3,1.000,67-113,0.593,26-59,0.441,82-99,0.828,93-172,0.541,10.3,68-196,0.347
46,9,So,6-8,Collin Murray-Boyles,82.2,South Carolina,SEC,32,Wing F,75.9,4.5,4.2,11.1,6.6,4.6,115.8,92.3,27.0,59.9,63.0,8.8,23.8,21.1,17.6,1.0,4.7,2.9,55.6,3.3,26-30,0.867,159-228,0.697,30-76,0.395,133-188,0.707,189-304,0.622,2.1,9-34,0.265
47,-,Sr,6-7,Jacob Ognacevic,0,Lipscomb,ASun,33,Wing F,86.1,4.5,3.4,3.5,4.5,-1.0,123.8,103.4,25.0,63.1,67.3,5.8,20.2,8.3,13.4,0.7,1.3,0.4,48.5,1.8,19-20,0.950,108-148,0.730,71-133,0.534,157-194,0.809,179-281,0.637,6.2,49-119,0.412
48,-,Jr,6-1,Ja'Kobi Gillespie,0,Maryland,B10,36,Scoring PG,78.6,4.5,4.4,9.6,5.7,3.9,121.6,91.1,22.6,56.3,59.8,2.0,7.9,27.3,15.1,2.6,0.4,3.5,23.7,2.4,4-4,1.000,62-99,0.626,31-84,0.369,81-94,0.862,93-183,0.508,10.7,87-214,0.407
49,-,Sr,6-9,Graham Ike,0,Gonzaga,WCC,35,PF/C,56.6,4.5,3.2,10.7,8.0,2.7,125.1,90.8,30.3,61.5,65.6,10.8,24.8,12.5,13.2,0.9,3.1,1.6,44.4,5.1,18-21,0.857,153-216,0.708,62-132,0.470,136-169,0.805,215-348,0.618,2.3,13-33,0.394
50,42,Sr,7-1,Maxime Raynaud,0,Stanford,ACC,35,PF/C,83.8,4.4,4.0,6.3,5.7,0.6,110.1,97.6,30.3,52.7,55.8,9.4,28.7,11.9,14.2,0.7,4.6,1.5,26.3,2.4,29-34,0.853,106-153,0.693,90-217,0.415,114-148,0.770,196-370,0.530,9.9,67-193,0.347
51,-,Jr,6-4,Fletcher Loyer,81.8,Purdue,B10,36,Combo G,77.4,4.4,3.1,5.5,5.0,0.5,123.7,103.4,19.1,57.9,62.9,1.2,7.1,10.4,11.9,1.5,0.1,1.0,39.9,1.4,0-0,0.000,20-42,0.476,59-120,0.492,112-132,0.848,79-162,0.488,9.2,75-169,0.444
52,50,Sr,6-9,Kobe Sanders,0,Nevada,MWC,33,Scoring PG,78.6,4.4,3.2,6.1,5.1,1.0,115.7,102.8,27.2,51.5,57.2,2.7,12.6,29.9,13.2,2.4,1.2,2.2,45.5,2.8,7-8,0.875,55-95,0.579,77-161,0.478,136-171,0.795,132-256,0.516,7.1,41-120,0.342
53,-,Sr,6-3,Ian Martinez,78.2,Utah St.,MWC,33,Combo G,74.5,4.4,2.6,5.6,6.0,-0.4,120.1,106.3,25.0,52.4,59.4,3.4,10.6,17.1,14.0,1.6,1.3,1.9,45.3,2.8,15-18,0.833,64-100,0.640,23-65,0.354,146-167,0.874,87-165,0.527,12.3,71-204,0.348
54,-,Jr,6-3,Emanuel Sharp,77.8,Houston,B12,37,Combo G,62.2,4.4,4.2,10.7,5.8,4.9,126.9,86.9,20.2,55.0,60.4,2.2,10.8,5.9,9.7,1.0,0.0,3.2,36.7,3.4,0-1,0.000,24-41,0.585,27-75,0.360,105-121,0.868,51-116,0.440,13.6,87-214,0.407
55,-,Sr,7-1,Vladislav Goldin,60,Michigan,B10,37,C,68.4,4.4,3.8,8.9,5.8,3.1,117.4,91.6,26.1,62.2,65.4,10.3,17.4,8.5,18.3,0.5,5.2,1.1,59.8,2.9,54-61,0.885,158-231,0.684,53-102,0.520,160-219,0.731,211-333,0.634,1.8,11-33,0.333
56,-,Sr,6-4,Caleb Love,97.6,Arizona,B12,37,Combo G,84.6,4.4,4.0,6.2,5.0,1.2,112.6,97.5,24.0,48.9,53.4,1.2,12.6,18.2,13.5,1.8,0.9,1.9,23.4,1.4,11-11,1.000,75-131,0.573,41-119,0.345,112-126,0.889,116-250,0.464,13.0,98-288,0.340
57,-,Sr,6-3,Caleb Grill,65.2,Missouri,SEC,29,Wing G,55.7,4.4,3.0,10.5,8.0,2.4,132.1,98.2,19.6,61.9,65.6,3.5,12.7,8.3,10.3,1.2,0.3,3.7,30.6,2.6,13-16,0.813,38-49,0.776,9-19,0.474,70-81,0.864,47-68,0.691,14.8,78-197,0.396
58,-,Sr,6-1,Quimari Peterson,0,East Tennessee St.,SC,30,Scoring PG,88.8,4.4,3.4,7.4,6.1,1.2,118.5,104.6,27.4,55.5,58.0,4.0,10.7,25.0,14.5,1.7,0.7,3.4,25.2,1.8,0-0,0.000,94-167,0.563,34-92,0.370,86-116,0.741,128-259,0.494,11.5,85-201,0.423
59,-,Sr,7-2,Hunter Dickinson,92,Kansas,B12,34,PF/C,74.6,4.3,4.7,8.9,5.2,3.7,111.4,86.6,28.3,54.3,57.1,10.7,25.1,14.4,14.8,1.0,4.7,1.9,26.7,3.0,23-30,0.767,120-174,0.690,106-228,0.465,92-123,0.748,226-402,0.562,3.3,16-58,0.276
60,-,Sr,6-5,Malik Thomas,84.4,San Francisco,WCC,33,Combo G,77.5,4.3,3.8,6.6,4.6,2.0,115.1,97.4,28.5,52.0,59.0,2.1,12.0,14.6,12.8,1.1,0.2,2.9,48.4,3.3,5-6,0.833,83-155,0.535,52-129,0.403,189-222,0.851,135-284,0.475,9.5,69-175,0.394
61,-,Sr,6-4,Curtis Jones,0,Iowa St.,B12,34,Combo G,73.0,4.3,4.0,7.5,5.6,2.0,117.3,93.6,25.4,52.6,56.9,1.8,14.5,15.2,10.5,1.6,0.7,2.2,28.2,2.1,1-1,1.000,44-78,0.564,65-145,0.448,109-129,0.845,109-223,0.489,13.1,88-235,0.374
62,-,Jr,6-4,Milos Uzan,86.2,Houston,B12,40,Scoring PG,77.6,4.3,4.5,7.9,4.4,3.6,120.7,90.2,20.1,53.4,55.4,1.3,10.3,25.9,14.4,3.0,0.3,1.8,15.7,2.5,0-0,0.000,32-58,0.552,79-179,0.441,47-60,0.783,111-237,0.468,7.4,62-145,0.428
63,37,Sr,6-5,Chaz Lanier,0,Tennessee,SEC,38,Wing G,78.4,4.3,4.3,7.5,5.8,1.8,115.5,92.1,24.9,54.0,56.0,2.0,12.1,7.8,8.8,1.0,0.5,1.8,17.6,2.0,8-11,0.727,46-72,0.639,74-181,0.409,75-99,0.758,120-253,0.474,16.2,123-311,0.395
64,-,Sr,6-3,Blaise Threatt,0,Weber St.,BSky,29,Scoring PG,85.8,4.3,2.7,4.5,4.0,0.6,112.4,110.4,30.3,52.1,55.7,3.9,15.4,30.4,11.7,2.1,0.1,3.2,38.7,2.6,1-1,1.000,159-268,0.593,47-113,0.416,124-174,0.713,206-381,0.541,3.9,19-69,0.275
65,-,Sr,6-9,David N'Guessan,19.8,Kansas St.,B12,33,PF/C,74.0,4.3,3.5,6.9,4.7,2.3,124.5,97.5,19.8,65.5,65.0,11.5,16.6,10.1,12.7,1.1,3.0,1.6,44.6,3.3,35-40,0.875,156-213,0.732,17-43,0.395,74-124,0.597,173-256,0.676,1.3,6-22,0.273
66,-,Sr,6-3,Chase Hunter,74.8,Clemson,ACC,34,Combo G,81.9,4.3,4.0,7.3,4.9,2.4,118.5,96.5,23.4,56.7,61.2,1.9,8.8,14.8,16.0,1.2,1.6,2.6,31.9,2.2,12-13,0.923,60-93,0.645,50-116,0.431,110-127,0.866,110-209,0.526,10.3,77-189,0.407
67,-,Jr,6-6,Darrion Williams,0,Texas Tech,B12,34,Wing G,67.9,4.3,3.8,8.5,5.6,2.9,114.8,94.8,26.9,49.5,53.8,6.3,14.8,23.1,14.0,1.9,1.4,2.5,25.9,2.9,2-2,1.000,75-124,0.605,63-159,0.396,92-110,0.836,138-283,0.488,8.3,48-141,0.340
68,-,Sr,6-1,Darius Johnson,75,UCF,B12,37,Scoring PG,84.5,4.3,3.4,5.5,4.0,1.5,111.4,103.1,24.8,53.2,58.0,2.3,8.4,25.4,19.2,1.5,0.6,3.6,35.4,3.4,0-0,0.000,99-190,0.521,14-50,0.280,139-168,0.827,113-240,0.471,10.2,93-235,0.396
69,-,So,5-11,Markus Burton,69.8,Notre Dame,ACC,26,Scoring PG,64.6,4.3,3.3,4.9,3.9,1.0,107.4,102.4,33.4,49.7,54.8,1.0,12.0,22.2,14.7,1.1,0.3,3.1,31.4,2.8,0-0,0.000,69-137,0.504,77-174,0.443,117-138,0.848,146-311,0.469,9.0,48-128,0.375
70,-,Jr,6-9,Nick Davidson,45.6,Nevada,MWC,33,Stretch 4,82.4,4.3,3.5,6.4,5.1,1.3,115.9,100.8,24.9,56.5,59.8,7.1,17.4,17.7,14.2,1.5,4.9,1.5,50.0,2.9,23-24,0.958,94-134,0.701,36-94,0.383,123-176,0.699,130-228,0.570,7.0,46-124,0.371
71,-,So,6-0,Barrington Hargress,0,UC Riverside,BW,32,Scoring PG,79.9,4.2,2.1,4.3,5.2,-0.9,111.9,112.5,31.5,49.8,53.0,1.2,7.4,29.7,10.8,2.1,0.1,2.1,27.0,2.3,2-2,1.000,92-146,0.630,81-193,0.420,109-148,0.736,173-339,0.510,11.9,67-210,0.319
72,-,Jr,6-7,Nick Townsend,0,Yale,Ivy,29,Wing F,77.2,4.2,3.0,6.4,5.5,0.9,125.2,103.7,24.0,57.4,60.6,7.5,18.6,21.0,12.2,2.3,0.9,1.4,38.1,2.5,0-0,0.000,111-195,0.569,31-69,0.449,90-121,0.744,142-264,0.538,3.5,27-54,0.500
73,-,Jr,6-7,Keyshawn Hall,0,UCF,B12,33,Wing F,73.4,4.2,3.1,3.0,3.7,-0.7,107.6,104.5,28.0,47.8,55.8,6.5,16.3,14.8,17.8,0.8,1.4,1.3,55.5,3.0,7-8,0.875,115-233,0.494,28-80,0.350,199-244,0.816,143-313,0.457,6.4,45-127,0.354
74,39,Sr,6-2,Alijah Martin,0,Florida,SEC,38,Combo G,72.2,4.2,4.1,8.5,5.4,3.1,121.3,92.9,20.6,54.7,57.6,4.5,10.8,12.3,13.1,1.5,0.6,2.7,28.0,1.9,28-35,0.800,89-134,0.664,24-64,0.375,89-117,0.761,110-192,0.573,11.1,79-226,0.350
75,-,Sr,6-7,Jahmyl Telfort,0,Butler,BE,33,Wing G,82.7,4.2,3.1,4.2,3.7,0.6,111.9,106.0,24.1,52.8,57.6,3.6,11.2,20.2,15.4,1.5,0.9,1.7,43.7,2.2,0-0,0.000,55-102,0.539,81-159,0.509,128-166,0.771,136-261,0.521,6.1,43-119,0.361
76,-,Sr,6-4,Augustas Marciulionis,80,Saint Mary's,WCC,34,Pure PG,87.6,4.2,4.6,6.2,3.3,2.9,117.4,94.2,23.0,50.5,54.8,1.2,9.4,32.9,16.9,2.8,0.3,2.4,31.5,2.3,1-1,1.000,82-144,0.569,40-98,0.408,96-121,0.793,122-242,0.504,7.5,48-142,0.338
