all_players_and_stats_2024-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RK,PICK,YEAR,HEIGHT,NAME,,TEAM,CONF,G,ROLE,MIN%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORTG,DRTG,USG,EFG,TS,OR,DR,AST,TO,A/TO,BLK,STL,FTR,FC/40,DUNKS,DUNKS %,CLOSE 2,CLOSE 2 %,FAR 2,FAR 2 %,FT,FT %,2P,2P %,3P/100,3P,3P %
1388,-,Sr,6-4,Rollie Worster,0,Nebraska,B10,31,Combo G,56.0,1.2,2.9,1.8,-0.4,2.2,103.0,98.1,17.1,46.2,50.5,3.0,14.9,18.6,17.0,2.1,1.1,2.0,37.7,2.8,0-0,0.000,45-88,0.511,23-45,0.511,49-69,0.710,68-133,0.511,3.6,11-50,0.220
1389,-,Fr,6-2,Owen Larson,0,South Dakota St.,Sum,26,Combo G,66.0,1.2,2.6,-0.2,-0.4,0.2,107.7,106.5,17.0,52.9,55.5,2.5,13.5,14.7,21.4,1.5,0.8,1.3,16.2,3.4,0-0,0.000,22-48,0.458,11-32,0.344,28-33,0.848,33-80,0.412,9.2,50-124,0.403
1390,-,Sr,6-9,Matt Zona,27.6,Fordham,A10,32,Stretch 4,41.6,1.2,1.3,0.2,0.2,0.0,114.2,109.2,16.7,51.9,55.3,8.9,13.7,8.9,13.3,1.2,3.0,2.5,48.5,5.6,1-1,1.000,32-48,0.667,4-10,0.400,42-63,0.667,36-58,0.621,7.6,21-72,0.292
1391,-,So,6-4,Jerone Morton,0,Morehead St.,OVC,24,Scoring PG,62.5,1.2,1.8,-0.6,-0.6,0.0,103.5,114.8,20.7,50.0,52.2,2.3,10.1,26.6,18.4,1.8,0.3,2.7,21.8,2.6,2-3,0.667,36-64,0.563,33-81,0.407,33-47,0.702,69-145,0.476,6.0,26-71,0.366
1392,-,Sr,6-5,Chandler Baker,0,Colgate,Pat,32,Wing G,50.2,1.2,1.1,-0.9,0.8,-1.7,114.3,115.3,17.2,57.4,58.2,1.0,9.9,9.2,8.7,2.0,0.2,1.7,4.9,1.9,0-0,0.000,19-27,0.704,26-55,0.473,9-10,0.900,45-82,0.549,11.4,48-122,0.393
1393,-,Sr,6-3,Kylan Blackmon,0,Charlotte,Amer,31,Wing G,63.4,1.2,1.5,-2.2,-1.1,-1.1,111.6,115.0,15.0,48.7,53.0,4.5,8.3,7.7,7.8,2.0,0.4,1.4,33.0,3.7,0-0,0.000,27-51,0.529,15-33,0.455,48-63,0.762,42-84,0.500,7.9,34-107,0.318
1394,-,Sr,6-4,Jordan Jefferson,0,Little Rock,OVC,22,Combo G,42.5,1.2,2.2,-0.9,-1.6,0.7,106.3,105.0,20.1,50.6,55.2,2.9,7.8,6.2,13.8,0.7,1.7,3.7,42.4,4.2,2-2,1.000,18-37,0.486,34-74,0.459,52-70,0.743,52-111,0.468,6.0,21-54,0.389
1395,-,Sr,6-6,Bismark Nsiah,0,Fairleigh Dickinson,NEC,30,Wing F,68.0,1.2,2.3,0.9,-0.6,1.4,108.1,107.4,18.5,48.6,51.6,8.2,18.9,19.6,15.2,2.0,4.1,2.4,31.7,3.8,15-15,1.000,66-111,0.595,14-53,0.264,45-66,0.682,80-164,0.488,3.1,14-44,0.318
1396,-,Jr,6-5,Kolby Granger,0,Texas Southern,SWAC,28,Wing G,55.6,1.2,1.9,1.7,1.4,0.3,113.7,107.8,16.0,57.4,59.5,7.2,13.0,11.9,17.8,1.3,1.0,2.1,39.2,1.4,5-7,0.714,41-63,0.651,5-16,0.313,39-58,0.672,46-79,0.582,6.0,26-69,0.377
1397,-,So,6-2,Bryce Ford,0,Toledo,MAC,32,Wing G,54.3,1.2,1.0,-2.4,0.1,-2.5,115.5,118.8,14.7,52.3,56.9,3.5,12.0,6.1,11.7,1.3,0.9,1.2,27.5,3.2,0-0,0.000,22-45,0.489,18-38,0.474,41-47,0.872,40-83,0.482,7.2,33-88,0.375
1398,-,Jr,6-4,Jordan Mason,0,Illinois Chicago,MVC,28,Combo G,73.4,1.2,2.4,-1.3,-1.2,-0.1,101.2,109.0,19.3,43.5,47.7,2.8,9.8,20.2,15.4,2.1,1.0,2.0,24.7,2.3,3-3,1.000,46-103,0.447,44-110,0.400,50-63,0.794,90-213,0.423,2.8,14-42,0.333
1399,-,Sr,6-4,Jayden Taylor,51.6,N.C. State,ACC,31,Combo G,72.4,1.2,2.9,0.6,-0.7,1.3,98.6,102.7,20.6,47.8,52.0,1.3,10.5,11.5,17.0,1.0,1.0,2.8,32.6,2.6,2-2,1.000,37-67,0.552,32-77,0.416,67-89,0.753,69-144,0.479,8.7,41-129,0.318
1400,-,Sr,5-11,Tyren Moore,0,UAB,Amer,36,Scoring PG,41.9,1.2,1.1,0.0,1.6,-1.6,111.3,112.7,19.1,49.1,51.6,0.5,7.6,18.4,14.7,2.2,0.2,1.9,15.3,2.3,0-0,0.000,2-10,0.200,19-67,0.284,27-33,0.818,20-76,0.263,13.1,57-139,0.410
1401,-,So,6-5,Lukas Walls,0,Samford,SC,31,Combo G,55.0,1.2,1.7,1.1,0.4,0.7,119.7,109.2,12.4,54.6,57.2,5.6,10.6,9.9,15.8,1.8,0.4,3.2,33.1,3.2,1-1,1.000,21-46,0.457,5-9,0.556,30-43,0.698,26-55,0.473,6.1,30-75,0.400
1402,-,Sr,6-7,Kalil Camara,0,Bethune Cookman,SWAC,32,Wing G,58.1,1.2,1.9,0.3,0.1,0.2,112.6,108.7,16.1,53.5,56.8,8.2,10.4,8.3,14.8,1.0,1.0,3.1,30.9,3.7,7-8,0.875,34-50,0.680,2-12,0.167,44-58,0.759,36-62,0.581,9.4,43-126,0.341
1403,-,Sr,6-5,Carlous Williams,0,Tennessee St.,OVC,30,Wing G,64.6,1.2,1.9,-1.4,-1.1,-0.3,107.0,110.9,19.1,57.4,60.1,5.7,11.3,7.4,21.6,0.5,2.9,1.6,32.8,4.7,26-31,0.839,87-121,0.719,25-62,0.403,55-75,0.733,112-183,0.612,3.2,13-46,0.283
1404,-,Jr,6-3,Javon Jackson,0,Illinois Chicago,MVC,29,Scoring PG,63.3,1.2,2.1,-2.8,-2.3,-0.5,95.4,107.5,26.4,43.8,49.9,1.1,7.9,18.9,19.5,1.3,0.4,3.1,34.6,4.0,0-0,0.000,46-96,0.479,25-69,0.362,83-100,0.830,71-165,0.430,9.7,37-124,0.298
1405,-,Sr,6-4,Colby Rogers,0,Memphis,Amer,35,Combo G,74.8,1.2,2.9,-0.2,-0.4,0.2,103.3,103.5,17.1,48.8,50.8,1.8,5.3,8.1,16.0,0.9,1.2,1.6,12.4,3.2,0-2,0.000,11-28,0.393,40-107,0.374,34-43,0.791,51-135,0.378,11.2,79-212,0.373
1406,-,Sr,6-5,Sadaidriene Hall,0,San Jose St.,MWC,32,Wing G,62.2,1.2,2.7,1.2,-0.5,1.7,102.2,102.2,18.8,49.8,53.0,4.4,19.0,13.6,18.0,1.2,1.4,3.1,21.1,3.6,3-4,0.750,46-68,0.676,37-98,0.378,39-48,0.813,83-166,0.500,4.4,20-61,0.328
1407,-,So,6-1,Jao Ituka,0,Jacksonville St.,CUSA,33,Combo G,45.9,1.2,1.4,-1.2,0.1,-1.3,104.1,110.3,22.4,46.0,52.1,0.8,7.7,7.9,13.4,1.0,0.4,1.0,38.4,2.3,0-0,0.000,21-44,0.477,13-41,0.317,66-81,0.815,34-85,0.400,12.6,42-126,0.333
1408,-,So,6-8,Rashaud Marshall,76.6,Arkansas St.,SB,34,C,42.3,1.2,1.9,-0.1,-0.9,0.8,120.7,100.4,13.6,56.9,60.0,11.0,20.2,2.6,14.0,0.5,3.8,0.8,71.6,4.9,13-16,0.813,57-93,0.613,1-9,0.111,48-73,0.658,58-102,0.569,0.0,0-0,0.000
1409,-,Sr,6-2,AJ McKee,0,Milwaukee,Horz,30,Combo G,74.8,1.2,2.5,-1.5,-1.6,0.1,105.7,107.8,18.7,47.1,50.6,3.6,7.4,8.4,15.9,1.1,1.1,2.2,27.9,3.2,1-1,1.000,61-129,0.473,22-42,0.524,60-82,0.732,83-171,0.485,7.8,37-123,0.301
1410,-,Sr,6-2,Dantwan Grimes,0,Tarleton St.,WAC,20,Combo G,51.4,1.2,2.3,-1.1,-1.7,0.6,100.8,109.4,19.9,44.0,51.8,0.4,9.2,16.0,16.0,1.4,0.0,3.2,43.5,2.7,0-0,0.000,31-67,0.463,10-24,0.417,62-73,0.849,41-91,0.451,7.7,22-77,0.286
1411,-,So,6-2,Vasean Allette,62.2,TCU,B12,32,Combo G,72.6,1.2,3.6,0.3,-1.3,1.6,87.9,96.2,27.9,39.9,43.3,3.9,13.2,26.7,21.2,1.2,0.8,2.7,22.8,2.7,5-5,1.000,76-155,0.490,49-145,0.338,62-87,0.713,125-300,0.417,5.2,18-81,0.222
1412,-,So,6-7,Kymany Houinsou,0,Loyola Chicago,A10,27,Wing G,40.5,1.2,2.2,1.8,0.3,1.5,106.5,102.9,19.1,53.8,56.0,8.8,15.8,26.7,25.9,1.8,1.2,1.9,40.2,3.4,13-14,0.929,49-79,0.620,11-24,0.458,30-47,0.638,60-103,0.583,1.4,2-14,0.143
1413,-,Fr,6-2,CJ Brown,70.6,South Florida,Amer,30,Scoring PG,54.1,1.2,2.1,1.8,-0.6,2.4,109.6,104.9,17.5,47.9,53.7,1.8,9.7,20.4,14.1,2.6,2.7,3.1,47.9,4.1,16-21,0.762,55-98,0.561,12-37,0.324,59-78,0.756,66-133,0.496,2.5,8-30,0.267
1414,-,Sr,6-6,Caleb Kenney,0,Holy Cross,Pat,29,PF/C,67.5,1.2,1.7,-3.5,-2.4,-1.1,99.8,114.6,24.3,52.8,54.6,6.3,14.4,11.4,18.7,0.7,3.9,1.6,28.3,3.5,15-18,0.833,78-126,0.619,64-142,0.451,49-76,0.645,142-268,0.530,0.1,0-1,0.000
1415,-,Jr,6-0,JJ Wheat,0,South Alabama,SB,30,Scoring PG,47.5,1.2,1.9,1.3,-1.5,2.7,113.5,102.7,17.4,58.9,62.6,3.9,7.0,17.1,20.3,1.9,0.6,4.3,97.9,3.3,0-0,0.000,32-53,0.604,14-29,0.483,63-94,0.670,46-82,0.561,1.5,7-14,0.500
1416,-,Sr,6-2,Derrick Butler,0,Bowling Green,MAC,29,Wing G,76.5,1.2,2.0,-2.5,-0.8,-1.7,103.3,114.0,20.6,49.4,52.3,2.1,10.7,6.6,10.8,0.8,0.9,1.4,28.4,2.9,6-6,1.000,55-105,0.524,19-52,0.365,64-91,0.703,74-157,0.471,10.1,56-163,0.344
1417,-,Sr,6-10,Jared Coleman-Jones,55.4,San Diego St.,MWC,28,Stretch 4,59.5,1.2,3.3,1.8,0.0,1.8,103.0,94.5,17.0,50.3,52.0,6.4,15.8,8.1,15.8,0.9,3.3,1.5,31.4,3.3,10-12,0.833,47-81,0.580,17-49,0.347,33-55,0.600,61-122,0.500,4.4,18-53,0.340
1418,-,Jr,6-4,Seth Hubbard,0,Toledo,MAC,32,Wing G,52.5,1.2,1.1,-3.7,-1.4,-2.3,105.5,116.7,21.4,41.2,48.6,3.2,13.3,10.9,8.7,1.9,1.1,1.9,37.8,4.0,1-2,0.500,32-57,0.561,42-92,0.457,77-90,0.856,74-149,0.497,7.6,16-89,0.180
1419,-,Fr,6-5,Jamie Phillips Jr.,0,Stetson,ASun,24,Wing G,59.6,1.2,1.0,-4.5,-1.1,-3.4,106.0,122.1,20.1,50.0,54.2,4.0,11.4,14.0,14.4,1.4,0.3,1.1,41.9,2.3,0-0,0.000,36-69,0.522,28-68,0.412,61-85,0.718,64-137,0.467,5.3,25-66,0.379
1420,-,Jr,6-8,Jalen Breath,0,UNC Greensboro,SC,29,C,55.1,1.2,2.5,-1.2,-1.6,0.4,112.1,99.5,17.5,46.9,54.2,9.0,27.6,5.1,12.8,0.8,2.7,1.3,79.2,4.8,2-3,0.667,47-92,0.511,14-38,0.368,72-103,0.699,61-130,0.469,0.0,0-0,0.000
1421,-,So,6-11,Jarin Stevenson,79.2,Alabama,SEC,37,PF/C,46.4,1.2,2.3,3.8,1.2,2.6,109.6,96.6,13.9,52.9,54.5,5.7,12.3,6.2,16.4,1.0,2.7,1.3,40.3,4.7,8-9,0.889,29-43,0.674,6-10,0.600,37-62,0.597,35-53,0.660,7.7,31-101,0.307
1422,-,Jr,6-1,Keon Thompson,0,Stephen F. Austin,Slnd,22,Combo G,62.7,1.2,3.2,-2.1,-2.2,0.1,94.3,103.2,25.7,47.2,52.2,5.3,12.9,23.2,26.2,0.9,0.5,3.1,36.4,3.3,6-6,1.000,82-148,0.554,16-50,0.320,66-86,0.767,98-198,0.495,3.2,9-38,0.237
1423,-,So,6-4,Quante Berry,51.4,Temple,Amer,27,Wing G,64.5,1.2,2.2,-0.8,-0.6,-0.2,102.7,110.2,19.0,52.1,54.9,3.8,12.4,13.7,21.5,1.0,1.8,2.3,33.0,3.7,3-3,1.000,54-96,0.563,22-52,0.423,50-72,0.694,76-148,0.514,4.9,25-70,0.357
1424,-,Fr,5-11,Connor Amundsen,0,Dartmouth,Ivy,26,Scoring PG,80.8,1.2,2.5,-2.4,-2.0,-0.4,108.7,109.2,16.7,50.0,55.4,1.4,6.8,16.5,14.3,2.4,0.1,0.9,43.6,1.8,0-0,0.000,22-56,0.393,19-53,0.358,68-88,0.773,41-109,0.376,6.1,40-93,0.430
1425,-,Jr,6-9,Andrew Akuchie,0,Rice,Amer,31,PF/C,48.5,1.2,1.7,0.8,0.3,0.4,114.7,105.9,15.7,53.9,56.0,8.9,18.2,7.4,12.6,1.0,2.7,1.1,55.9,4.0,16-17,0.941,51-77,0.662,13-33,0.394,43-71,0.606,64-110,0.582,1.7,3-17,0.176
1426,-,Sr,6-6,Tomiwa Sulaiman,0,Towson,CAA,32,Wing F,48.2,1.2,2.0,2.1,0.7,1.4,108.3,101.8,20.4,43.8,48.5,10.4,14.5,8.3,12.8,1.0,3.3,3.4,28.1,3.7,2-3,0.667,36-73,0.493,15-43,0.349,43-54,0.796,51-116,0.440,7.6,22-76,0.289
1427,-,Sr,6-7,Pablo Tamba,0,UC Davis,BW,30,Wing G,69.2,1.2,2.8,-0.2,-1.4,1.2,101.9,102.2,21.3,58.5,60.6,6.0,16.2,9.9,23.4,0.5,3.0,2.5,52.3,3.8,10-11,0.909,112-170,0.659,11-35,0.314,75-114,0.658,123-205,0.600,0.9,3-13,0.231
1428,-,Jr,6-4,Ja'Sean Glover,0,Nebraska Omaha,Sum,33,Wing G,57.0,1.2,1.6,0.5,0.6,-0.1,108.6,111.4,18.3,52.3,55.9,4.6,9.6,14.7,18.9,1.3,2.4,2.2,29.6,3.3,1-1,1.000,45-67,0.672,14-47,0.298,45-58,0.776,59-114,0.518,6.3,29-82,0.354
1429,-,Sr,6-6,Isaiah Adams,33.2,Toledo,MAC,32,Wing G,75.2,1.2,1.7,-2.2,-0.8,-1.4,100.1,115.7,21.7,44.8,49.7,1.9,11.6,18.6,17.2,1.8,2.1,2.4,27.9,3.3,4-5,0.800,48-79,0.608,47-135,0.348,73-89,0.820,95-214,0.444,6.2,32-105,0.305
1430,-,Jr,6-1,Denver Anglin,83,Rice,Amer,31,Combo G,54.1,1.2,1.5,-0.6,0.6,-1.1,108.0,111.6,18.6,49.3,52.6,1.0,8.7,8.1,12.0,1.0,0.2,1.2,21.2,2.7,0-0,0.000,9-21,0.429,14-46,0.304,39-48,0.813,23-67,0.343,14.1,59-159,0.371
1431,-,Sr,6-5,Rodney Johnson Jr.,0,Tennessee Tech,OVC,23,Wing F,49.1,1.2,1.9,-0.9,0.5,-1.4,101.3,109.9,23.3,52.8,53.5,4.5,20.6,14.1,14.3,1.1,1.3,1.6,16.1,2.2,5-5,1.000,39-69,0.565,42-87,0.483,22-37,0.595,81-156,0.519,7.3,27-74,0.365
1432,-,So,6-5,Michael McNair,0,Boston University,Pat,30,Wing G,70.2,1.2,1.7,-1.5,0.2,-1.7,107.6,114.5,18.2,56.6,58.5,4.2,9.8,9.9,21.1,0.8,0.6,1.4,23.7,2.6,2-3,0.667,22-42,0.524,11-25,0.440,39-54,0.722,33-67,0.493,11.4,64-161,0.398
1433,-,So,6-4,Jacob Theodosiou,0,Loyola MD,Pat,30,Combo G,78.4,1.2,2.3,-2.0,-1.6,-0.4,98.5,111.1,25.0,46.5,51.8,1.6,14.6,18.2,18.8,1.1,1.1,3.4,39.4,3.0,0-0,0.000,63-118,0.534,7-44,0.159,98-128,0.766,70-162,0.432,10.3,54-163,0.331
1434,-,Sr,6-6,Kwo Agwa,0,UT Rio Grande Valley,Slnd,26,PF/C,41.3,1.2,1.3,0.0,0.0,0.1,116.3,109.6,16.1,57.5,60.5,9.6,15.9,7.8,17.3,0.9,6.7,0.9,31.8,3.0,10-11,0.909,49-73,0.671,5-16,0.313,26-34,0.765,54-89,0.607,2.3,5-18,0.278
1435,-,Sr,7-4,Matthew Van Komen,55,Elon,CAA,30,C,56.5,1.2,2.3,1.9,0.1,1.8,115.6,103.4,14.1,70.1,67.7,15.9,21.2,5.2,26.5,0.4,11.6,0.8,36.4,3.6,31-32,0.969,64-81,0.790,11-26,0.423,20-39,0.513,75-107,0.701,0.0,0-0,0.000
1436,-,Sr,6-3,DQ Cole,0,Oakland,Horz,33,Wing G,73.2,1.2,2.2,-1.1,-0.5,-0.6,100.9,110.2,21.3,46.5,49.6,1.9,13.2,16.8,18.2,1.3,1.8,1.7,17.2,3.4,0-0,0.000,23-37,0.622,26-60,0.433,47-57,0.825,49-97,0.505,14.6,70-234,0.299
1437,-,So,6-3,Corey Hadnot II,0,Purdue Fort Wayne,Horz,30,Combo G,55.4,1.2,1.7,0.0,-0.4,0.4,108.0,109.7,19.5,50.9,54.3,1.4,8.1,11.8,10.9,1.8,1.2,3.1,24.3,2.6,3-3,1.000,43-82,0.524,15-43,0.349,41-52,0.788,58-125,0.464,7.5,34-89,0.382
1438,-,Jr,6-4,MJ Collins,63.4,Vanderbilt,SEC,32,Wing G,49.0,1.2,1.9,0.0,0.8,-0.8,103.3,105.1,18.5,48.8,52.2,4.3,9.2,4.4,14.3,0.5,0.0,1.7,29.5,1.7,11-13,0.846,41-67,0.612,16-41,0.390,43-59,0.729,57-108,0.528,8.1,27-92,0.293
1439,-,Sr,6-1,Chase Robinson,0,Cleveland St.,Horz,33,Combo G,61.5,1.2,2.3,-0.2,-1.5,1.2,105.8,104.5,19.9,46.8,52.3,1.6,11.2,16.2,16.8,1.7,0.5,3.2,39.7,3.7,2-2,1.000,34-69,0.493,29-67,0.433,72-93,0.774,63-136,0.463,7.3,31-98,0.316
1440,-,Sr,6-4,Nicolas Louis-Jacques,0,Colgate,Pat,32,Combo G,72.2,1.2,1.6,-3.2,-0.9,-2.2,104.0,116.1,19.8,54.3,56.5,1.2,6.1,9.2,15.4,1.0,1.4,1.5,16.0,2.9,0-0,0.000,41-69,0.594,22-54,0.407,38-47,0.809,63-123,0.512,11.0,64-170,0.376
1441,-,Jr,6-5,Zion Cruz,85.8,Rider,MAAC,30,Wing G,59.8,1.2,1.3,-2.4,-0.3,-2.1,105.1,117.0,20.3,47.5,49.5,3.1,9.4,11.4,9.5,1.7,2.2,1.6,15.8,2.4,3-4,0.750,46-77,0.597,43-121,0.355,32-45,0.711,89-198,0.449,6.7,31-87,0.356
1442,-,Jr,6-2,Trey Miller,0,UT Rio Grande Valley,Slnd,27,Scoring PG,75.4,1.2,1.8,-4.2,-2.6,-1.6,98.6,114.9,22.4,47.8,50.7,3.4,6.1,26.3,23.2,1.7,0.6,1.9,28.0,4.1,1-1,1.000,57-94,0.606,43-97,0.443,48-70,0.686,100-191,0.524,4.1,13-59,0.220
1443,-,Sr,5-11,Carlos Paez,0,Southeastern Louisia,Slnd,30,Scoring PG,45.4,1.2,1.4,0.6,0.3,0.3,118.0,109.0,15.0,55.3,60.7,2.3,9.7,17.5,18.8,2.1,0.5,2.0,31.9,3.3,0-0,0.000,9-24,0.375,7-15,0.467,33-36,0.917,16-39,0.410,8.0,31-74,0.419
1444,-,Sr,6-7,Sam Alajiki,0,Oral Roberts,Sum,19,Wing F,51.0,1.2,1.5,-2.0,0.0,-2.0,100.5,115.9,22.2,48.6,53.8,2.8,21.8,5.3,14.8,0.4,1.3,1.4,32.6,3.2,10-11,0.909,34-61,0.557,3-18,0.167,48-58,0.828,37-79,0.468,10.8,33-99,0.333
1445,-,Sr,6-7,Lazar Stefanovic,0,UCLA,B10,34,Wing G,41.1,1.2,2.0,2.6,0.9,1.7,112.3,96.8,15.2,48.9,52.5,5.4,9.2,10.1,12.8,1.8,0.0,1.9,15.6,3.1,4-4,1.000,6-10,0.600,27-56,0.482,21-22,0.955,33-66,0.500,8.1,24-75,0.320
1446,-,Jr,6-8,Chisom Okpara,64.8,Stanford,ACC,35,Wing F,40.8,1.2,1.7,1.9,0.5,1.4,104.0,102.0,22.0,55.9,58.8,5.1,9.8,12.7,22.5,0.8,1.7,3.1,44.1,3.9,2-2,1.000,57-104,0.548,6-18,0.333,49-71,0.690,63-122,0.516,4.1,18-39,0.462
1447,-,Sr,6-1,Byron Ireland,0,Nicholls St.,Slnd,27,Combo G,59.6,1.1,2.0,-2.1,-1.0,-1.0,96.5,109.7,25.3,43.7,47.1,3.2,8.9,19.6,16.0,1.4,0.6,2.0,25.6,3.2,1-2,0.500,61-130,0.469,32-93,0.344,52-73,0.712,93-223,0.417,5.0,21-62,0.339
1448,-,Sr,6-8,Lok Wur,5.4,Grand Canyon,WAC,33,Stretch 4,54.8,1.1,2.5,2.8,0.5,2.2,108.5,98.6,17.1,51.0,54.1,7.4,12.2,5.9,15.1,0.7,5.7,2.7,27.9,3.9,17-18,0.944,46-84,0.548,9-26,0.346,43-58,0.741,55-110,0.500,7.5,34-98,0.347
1449,-,Sr,6-3,Sean Smith,0,Western Illinois,OVC,28,Combo G,86.6,1.1,1.8,-2.3,-1.9,-0.5,104.0,116.6,18.5,48.5,50.0,1.8,12.6,19.8,15.6,2.1,0.8,2.8,10.6,2.3,3-3,1.000,33-54,0.611,61-146,0.418,22-29,0.759,94-200,0.470,4.7,26-74,0.351
1450,-,Sr,6-2,Deuce Turner,0,UC Santa Barbara,BW,32,Combo G,48.0,1.1,1.4,-3.2,-1.0,-2.1,101.4,110.4,26.0,48.2,52.6,0.6,9.8,14.7,14.7,1.1,0.2,1.8,24.8,2.5,0-0,0.000,32-50,0.640,32-76,0.421,54-63,0.857,64-126,0.508,12.5,39-128,0.305
1451,-,Sr,6-3,Miles Brewster,0,Boston University,Pat,31,Combo G,64.4,1.1,2.1,-1.1,-1.1,0.0,101.9,108.7,23.7,49.3,51.7,1.7,16.8,20.0,17.9,1.3,0.3,2.9,24.1,3.2,5-6,0.833,62-117,0.530,14-38,0.368,47-68,0.691,76-155,0.490,9.8,42-127,0.331
1452,-,Jr,6-1,Nicholas Shogbonyo,0,Denver,Sum,29,Wing G,73.5,1.1,2.0,-2.1,-0.7,-1.4,100.4,111.8,23.0,45.9,53.6,2.1,18.1,11.0,17.7,0.9,0.3,1.4,47.8,2.9,0-0,0.000,25-62,0.403,51-109,0.468,107-129,0.829,76-171,0.444,6.7,32-99,0.323
1453,-,Sr,6-4,Tyreese Watson,0,Louisiana Monroe,SB,28,Scoring PG,78.7,1.1,1.8,-3.8,-2.7,-1.1,96.7,116.1,23.5,40.2,49.0,2.4,9.0,26.2,19.7,1.7,0.4,2.9,53.9,3.2,1-2,0.500,47-92,0.511,40-132,0.303,120-151,0.795,87-224,0.388,3.5,17-56,0.304
1454,-,So,6-5,Jayme Mitchell Jr.,0,Jackson St.,SWAC,30,Wing G,50.9,1.1,1.9,1.2,1.2,-0.1,104.5,108.2,21.2,50.6,54.5,4.1,13.4,4.6,14.9,0.4,1.5,2.4,29.4,3.4,0-2,0.000,26-49,0.531,10-39,0.256,58-74,0.784,36-88,0.409,13.2,61-164,0.372
1455,-,Sr,6-4,Jailen Bedford,0,UNLV,MWC,33,Wing G,58.3,1.1,2.6,0.9,0.4,0.6,95.3,99.1,25.4,47.2,48.9,3.5,17.5,11.7,14.8,0.8,0.3,2.3,12.6,3.5,8-12,0.667,36-82,0.439,34-84,0.405,30-41,0.732,70-166,0.422,12.5,56-160,0.350
1456,-,Sr,6-7,Nick Fiorillo,0,Vermont,AE,28,Stretch 4,69.0,1.1,2.6,-1.1,-0.9,-0.2,105.2,107.6,19.2,51.3,55.4,3.8,15.5,11.4,16.8,1.1,1.9,1.1,33.2,2.6,2-2,1.000,40-61,0.656,4-14,0.286,57-74,0.770,44-75,0.587,10.8,47-148,0.318
1457,-,Sr,6-3,Matt Becht,0,Merrimack,MAAC,33,Combo G,74.1,1.1,2.5,-0.7,-0.4,-0.3,107.6,107.5,17.3,51.6,54.6,0.7,5.9,7.5,7.7,1.7,0.1,2.3,19.1,1.9,0-0,0.000,12-20,0.600,4-12,0.333,44-53,0.830,16-32,0.500,15.5,85-246,0.346
1458,-,Jr,6-7,Gregg Glenn III,76.2,Tulane,Amer,32,Wing G,67.2,1.1,2.6,-1.6,-2.0,0.4,97.0,103.9,25.1,50.2,53.2,5.0,17.2,24.8,23.7,1.2,1.9,2.3,45.5,5.0,9-11,0.818,91-153,0.595,31-68,0.456,74-116,0.638,122-221,0.552,2.3,4-34,0.118
1459,-,So,6-7,Isaiah Sy,0,Oregon St.,WCC,32,Stretch 4,45.2,1.1,1.4,-0.2,0.7,-1.0,114.6,108.9,15.0,52.9,55.9,3.5,9.6,8.7,13.3,1.5,1.1,1.1,22.3,3.6,0-0,0.000,12-17,0.706,6-11,0.545,25-31,0.806,18-28,0.643,11.7,37-111,0.333
1460,-,Jr,6-8,Yaphet Moundi,0,Iona,MAAC,32,C,48.2,1.1,2.3,0.5,0.2,0.3,102.3,99.2,26.0,56.5,56.0,15.6,26.6,9.7,21.2,0.5,4.5,3.2,65.4,4.5,22-24,0.917,114-199,0.573,7-15,0.467,72-140,0.514,121-214,0.565,0.0,0-0,0.000
1461,-,So,6-5,Logan Woods,0,Wright St.,Horz,30,Combo G,54.8,1.1,1.2,-1.7,-0.4,-1.3,116.5,116.8,14.2,58.8,60.2,2.7,7.8,12.4,16.8,1.9,0.9,1.4,11.1,3.9,0-0,0.000,19-39,0.487,17-35,0.486,14-17,0.824,36-74,0.486,6.7,36-79,0.456
1462,-,So,6-8,Jaylen Peterson,0,Presbyterian,BSth,30,C,52.6,1.1,1.9,0.2,-0.8,1.0,114.4,105.4,16.5,54.6,54.9,13.0,18.0,7.2,13.3,1.0,7.9,2.0,47.7,4.9,24-24,1.000,62-104,0.596,9-26,0.346,33-62,0.532,71-130,0.546,0.0,0-0,0.000
1463,-,Sr,6-4,Kalib Mathews,0,Queens,ASun,31,Combo G,58.1,1.1,1.6,-1.1,0.1,-1.2,106.8,113.5,19.3,53.3,57.6,6.8,6.8,19.7,24.3,1.3,2.2,2.0,43.3,2.4,11-13,0.846,62-105,0.590,4-18,0.222,58-78,0.744,66-123,0.537,4.2,20-57,0.351
1464,-,Fr,6-6,Jonathan Powell,72.8,West Virginia,B12,32,Wing G,74.1,1.1,3.6,1.4,0.1,1.2,102.4,97.1,14.4,50.6,50.6,2.3,9.6,4.5,8.0,1.2,0.0,1.4,10.0,1.9,4-4,1.000,21-40,0.525,10-29,0.345,12-25,0.480,31-69,0.449,11.6,64-182,0.352
1465,-,Sr,6-5,Brandon Newman,75,Oklahoma St.,B12,35,Wing G,50.1,1.1,2.2,2.1,1.2,0.9,101.8,100.5,18.9,48.5,53.6,5.7,15.1,7.6,18.9,0.6,1.7,2.3,37.8,3.2,0-0,0.000,23-45,0.511,16-43,0.372,59-76,0.776,39-88,0.443,9.0,39-113,0.345
